"","doc_id","lemma"
"3","1","take"
"5","1","kind"
"7","1","man"
"9","1","make"
"11","1","outfit"
"16","2","good"
"19","2","much"
"20","2","american"
"23","2","race"
"26","2","races"
"29","2","interbree"
"34","3","know"
"39","4","trouble"
"44","4","outfit"
"47","5","get"
"54","5","work"
"57","5","team"
"65","7","think"
"67","7","make"
"69","7","difference"
"74","7","fight"
"81","8","mix"
"84","8","black"
"85","8","man"
"89","10","troops"
"92","10","fight"
"95","10","selve"
"101","11","say"
"104","14","different"
"105","14","way"
"107","14","lower"
"108","14","standard"
"110","14","living"
"117","18","get"
"120","18","chance"
"124","20","make"
"125","20","better"
"126","20","soldier"
"130","20","outfit"
"135","21","much"
"136","21","trouble"
"139","21","race"
"144","22","separate"
"150","22","fights"
"156","23","much"
"157","23","strife"
"159","23","trouble"
"162","24","try"
"165","24","find"
"170","25","say"
"176","25","sociologist"
"179","25","think"
"183","25","happier"
"195","27","live"
"196","27","tighter"
"199","27","come"
"203","29","white"
"205","29","negro"
"208","29","mix"
"212","32","white"
"214","32","negro"
"215","32","soldier"
"218","32","live"
"225","35","better"
"226","35","cooperation"
"228","35","keep"
"232","35","liable"
"236","35","trouble"
"241","38","negro"
"245","38","chance"
"248","38","full"
"249","38","share"
"258","41","work"
"259","41","better"
"263","41","group"
"275","46","fight"
"283","51","know"
"285","51","negro"
"288","51","know"
"291","51","take"
"295","51","man"
"299","51","raise"
"303","51","negro"
"308","52","think"
"310","52","negro"
"312","52","white"
"314","52","mix"
"319","54","color"
"322","54","look"
"323","54","dirty"
"328","55","get"
"337","58","make"
"339","58","soldier"
"340","58","change"
"342","58","mind"
"345","59","think"
"348","59","get"
"350","59","better"
"353","59","outfit"
"357","59","kind"
"362","60","much"
"363","60","distinction"
"370","63","wouldent"
"376","63","negro"
"378","64","time"
"382","64","get"
"385","64","gather"
"387","64","different"
"388","64","thing"
"390","65","white"
"391","65","fellow"
"394","65","like"
"398","65","negro"
"406","68","thing"
"411","68","comment"
"413","68","common"
"420","70","get"
"426","71","negro"
"428","71","get"
"430","71","better"
"440","75","negro"
"443","75","white"
"447","75","different"
"452","75","trouble"
"458","76","give"
"459","76","equal"
"460","76","rights"
"462","76","privileges"
"464","76","white"
"465","76","soldier"
"470","76","want"
"474","76","buddy"
"481","78","better"
"482","78","cooperation"
"486","78","separate"
"487","78","outfit"
"490","78","white"
"491","78","southerner"
"493","78","white"
"494","78","northerner"
"498","79","separate"
"501","79","make"
"503","79","hard"
"504","79","feling"
"508","80","get"
"516","80","many"
"517","80","fight"
"523","81","blend"
"524","81","negro"
"526","81","white"
"530","81","bring"
"531","81","disharmony"
"535","82","get"
"541","82","negro"
"546","82","chance"
"551","84","say"
"553","84","white"
"555","84","color"
"558","84","mix"
"563","85","get"
"571","87","mix"
"573","88","white"
"574","88","people"
"576","88","negro"
"579","88","get"
"583","89","know"
"588","89","like"
"590","89","furlough"
"597","90","white"
"599","91","reason"
"606","91","question"
"609","91","myth"
"611","91","colored"
"612","91","people"
"614","91","inferior"
"618","91","destroy"
"622","91","apply"
"624","91","practical"
"625","91","education"
"629","91","actual"
"630","91","demonstration"
"632","91","method"
"636","91","army"
"637","91","subscribe"
"640","91","negro"
"641","91","question"
"646","91","else"
"650","92","fight"
"654","92","separate"
"655","92","outfit"
"658","93","fight"
"661","93","self"
"664","95","white"
"667","95","like"
"669","95","associate"
"671","95","negro"
"675","96","different"
"677","96","white"
"678","96","people"
"680","97","negro"
"682","97","stay"
"685","97","place"
"687","98","accord"
"694","100","make"
"695","100","better"
"696","100","training"
"698","100","keep"
"700","100","separate"
"702","101","work"
"704","101","separate"
"710","107","cause"
"712","107","much"
"713","107","trouble"
"722","108","common"
"725","108","negro"
"729","108","stay"
"732","108","place"
"738","109","barrack"
"743","111","fight"
"745","111","nazis"
"749","111","prejudice"
"752","111","jew"
"759","111","treat"
"761","111","negro"
"764","111","outcast"
"768","111","use"
"769","111","logic"
"775","112","much"
"776","112","friction"
"778","113","reason"
"783","114","get"
"793","116","get"
"796","116","good"
"806","118","cause"
"808","118","see"
"810","118","reason"
"817","118","allow"
"819","118","fight"
"822","118","side"
"824","118","side"
"825","119","make"
"830","120","better"
"832","120","way"
"836","120","hard"
"838","120","break"
"840","120","custom"
"843","120","tradition"
"851","120","good"
