"","doc_id","lemma"
"852","120","many"
"853","120","year"
"857","121","combat"
"861","121","make"
"863","121","difference"
"868","123","think"
"871","123","make"
"873","123","better"
"874","123","fighting"
"875","123","unit"
"880","123","command"
"882","124","negro"
"884","124","white"
"885","124","boy"
"889","124","get"
"896","126","soldier"
"902","126","think"
"905","126","white"
"907","126","like"
"911","127","smell"
"914","127","goat"
"920","128","different"
"921","128","color"
"926","128","like"
"932","130","think"
"935","130","mix"
"940","131","camp"
"945","131","separate"
"946","131","outfit"
"951","133","think"
"954","133","lower"
"956","133","morale"
"959","133","white"
"960","133","people"
"967","135","view"
"968","135","point"
"971","135","race"
"973","135","color"
"976","135","creed"
"982","135","outfit"
"991","135","colored"
"994","135","southerner"
"998","136","less"
"999","136","trouble"
"1005","137","clean"
"1007","137","white"
"1008","137","people"
"1012","139","case"
"1017","139","boy"
"1019","139","white"
"1023","139","trouble"
"1026","139","negro"
"1031","141","accomplish"
"1033","141","separate"
"1034","141","units"
"1036","141","achieve"
"1037","141","victory"
"1041","141","separate"
"1043","141","negro"
"1045","141","adapt"
"1048","141","different"
"1049","141","climate"
"1052","141","white"
"1059","142","mix"
"1064","145","negro"
"1069","145","chance"
"1072","145","outfit"
"1080","146","start"
"1082","146","many"
"1083","146","fight"
"1087","147","know"
"1092","148","like"
"1096","148","oklahoma"
"1104","152","good"
"1111","153","different"
"1112","153","habit"
"1114","153","standard"
"1116","153","living"
"1119","153","speech"
"1122","155","white"
"1124","155","think"
"1126","155","live"
"1131","155","negro"
"1136","158","give"
"1142","158","better"
"1143","158","opportunity"
"1145","158","get"
"1147","158","credit"
"1150","158","credit"
"1157","159","think"
"1158","159","keep"
"1160","159","race"
"1166","159","able"
"1168","159","work"
"1169","159","better"
"1175","164","white"
"1176","164","soldier"
"1178","164","try"
"1180","164","overrun"
"1182","164","negro"
"1183","164","soldier"
"1187","165","like"
"1194","170","think"
"1201","170","camp"
"1204","172","depend"
"1207","172","negro"
"1213","172","like"
"1215","172","idea"
"1223","177","group"
"1225","177","cast"
"1226","177","tradition"
"1230","177","see"
"1232","177","reason"
"1236","177","soldier"
"1237","177","shoulder"
"1239","177","shoulder"
"1244","179","colored"
"1246","179","white"
"1247","179","race"
"1250","179","mix"
"1252","180","racial"
"1253","180","hatered"
"1256","180","cause"
"1257","180","many"
"1258","180","complication"
"1264","180","southern"
"1265","180","boy"
"1270","185","let"
"1272","185","negro"
"1275","185","let"
"1277","185","white"
"1282","188","white"
"1283","188","man"
"1286","188","negro"
"1287","188","differ"
"1290","188","character"
"1295","191","outfit"
"1298","191","whole"
"1301","191","think"
"1302","191","separate"
"1305","191","work"
"1307","191","better"
"1315","195","difference"
"1317","195","live"
"1318","195","condition"
"1322","195","races"
"1327","196","oppose"
"1330","196","negro"
"1333","196","outfit"
"1343","201","many"
"1344","201","fight"
"1347","201","white"
"1349","201","black"
"1353","203","want"
"1359","203","hill"
"1364","203","put"
"1367","203","outfit"
"1369","203","negro"
"1375","203","southerner"
"1378","204","think"
"1382","204","trouble"
"1390","206","trouble"
"1393","206","time"
"1398","207","ease"
"1400","207","comfort"
"1404","208","get"
"1408","208","good"
"1412","208","outfit"
"1422","215","get"
"1424","215","better"
"1428","215","outfit"
"1437","221","answer"
"1446","224","see"
"1448","224","thing"
"1459","227","white"
"1462","227","negro"
"1465","227","trouble"
"1472","230","want"
"1474","230","sleep"
"1478","230","place"
"1484","230","think"
"1490","231","question"
"1492","231","number"
"1497","232","negro"
"1500","232","feel"
"1505","232","pride"
"1508","232","outfit"
"1514","232","minority"
"1527","234","blind"
"1530","234","whites"
"1532","234","fight"
"1535","235","keep"
"1537","235","separate"
"1539","235","make"
"1540","235","best"
"1541","235","soldier"
"1546","236","mix"
"1548","237","like"
"1554","237","greatest"
"1555","237","morale"
"1556","237","builders"
"1559","238","best"
"1562","238","volunteer"
"1564","238","mixed"
"1565","238","outfit"
"1569","240","believe"
"1571","240","negro"
"1573","240","feel"
"1576","240","place"
"1579","240","case"
"1583","242","come"
"1587","242","negro"
"1589","242","allow"
"1592","242","white"
"1593","242","outfit"
"1596","242","say"
"1598","242","hell"
"1601","242","whole"
"1602","242","country"
"1608","243","sure"
"1610","243","breed"
"1611","243","discontent"
"1614","243","man"
"1617","245","white"
"1619","245","negro"
"1622","245","mix"
"1624","246","colored"
"1626","246","o.k."
"1629","246","majority"
"1632","246","unclean"
"1634","246","disease"
"1635","246","rate"
"1637","246","high"
"1644","249","like"
"1646","249","mingle"
"1648","249","negro"
"1651","251","work"
"1652","251","better"
"1654","251","separate"
"1655","251","group"
"1659","254","refer"
"1666","255","precede"
"1667","255","question"
"1668","255","keep"
"1669","255","peace"
"1672","255","outfit"
"1676","257","believe"
"1681","257","equal"
"1682","257","rights"
"1684","257","privileges"
"1688","257","whites"
"1690","257","negro"
"1692","257","get"
"1694","257","better"
"1702","261","mean"
"1703","261","keep"
"1705","261","separate"
"1706","262","good"
"1707","262","idea"
"1709","262","keep"
"1711","262","separat"
"1713","262","keep"
"1715","262","trouble"
"1720","267","see"
"1721","267","question"
"1727","270","tend"
"1729","270","separate"
"1733","270","efficiency"
"1736","270","lose"
"1740","270","place"
"1744","270","outfit"
"1747","271","work"
"1750","271","work"
"1754","271","race"
"1761","273","room"
"1762","273","eat"
"1764","273","sleep"
"1769","274","mix"
"1770","274","good"
"1772","275","living"
"1773","275","condition"
"1776","275","different"
"1778","275","civilian"
"1779","275","life"
"1783","275","feel"
"1789","275","uncomfortable"
"1791","275","white"
"1792","275","race"
"1796","276","separate"
"1797","276","sleeping"
"1798","276","quarter"
"1804","278","feel"
"1806","278","natural"
"1812","278","different"
"1813","278","national"
"1814","278","combat"
"1815","278","group"
"1816","278","serve"
"1819","278","feel"
"1821","278","home"
"1823","278","people"
"1829","279","good"
"1830","279","record"
"1832","279","negro"
"1834","279","establish"
"1839","279","alone"
"1844","280","look"
"1845","280","good"
"1848","280","negro"
"1851","280","white"
"1852","280","man"
"1857","281","white"
"1858","281","man"
"1861","281","obey"
"1863","281","negro"
"1866","281","vice"
"1868","281","versa"
"1874","284","question"
"1877","286","blood"
"1881","286","intermix"
"1884","286","fight"
"1885","286","side"
"1887","286","side"
"1889","286","battle"
"1896","287","negro"
"1897","287","officer"
"1900","287","necessary"
"1903","287","white"
"1905","287","black"
"1908","287","work"
"1911","287","fight"
"1913","288","white"
"1914","288","boy"
"1916","288","better"
"1919","289","race"
"1928","294","include"
"1930","294","officer"
"1937","297","civil"
"1938","297","war"
"1943","297","forget"
"1947","299","southern"
"1948","299","boy"
"1950","299","negro"
"1951","299","boy"
"1955","299","war"
"1964","301","white"
"1966","301","negro"
"1967","301","soldier"
"1971","301","work"
"1989","305","southerner"
"1993","306","rebel"
"2000","313","boy"
"2003","313","south"
"2007","313","satisfy"
"2011","313","outfit"
"2013","313","negro"
"2023","320","alike"
"2027","323","black"
"2029","323","white"
"2032","323","mix"
"2036","324","show"
"2038","324","public"
"2045","325","white"
"2046","325","people"
"2051","325","get"
"2058","329","want"
"2060","329","mix"
"2069","330","think"
"2073","330","good"
"2074","330","whites"
"2076","330","whites"
"2077","330","know"
"2084","330","work"
"2088","332","work"
"2095","332","opinion"
"2098","332","work"
"2099","332","separate"
"2106","333","allow"
"2108","333","mix"
"2110","333","possible"
"2118","334","outfit"
"2119","334","preference"
"2122","334","show"
"2124","334","way"
"2132","335","many"
"2133","335","fight"
"2136","335","negro"
"2139","335","white"
"2144","336","way"
"2146","336","understand"
"2153","338","get"
"2157","339","get"
"2160","339","better"
"2163","339","outfit"
"2178","348","south"
"2181","348","like"
"2184","348","good"
"2191","352","make"
"2193","352","grave"
"2194","352","mistake"
"2197","352","try"
"2199","352","mix"
"2208","356","benefit"
"2211","356","races"
"2215","357","work"
"2225","362","know"
"2228","362","black"
"2229","362","soldier"
"2230","362","take"
"2232","362","white"
"2238","363","negro"
"2239","363","people"
"2242","363","dirty"
"2246","364","put"
"2247","364","negro"
"2249","364","white"
"2253","364","outfit"
"2258","364","get"
"2260","364","hot"
"2261","364","water"
"2264","365","man"
"2265","365","live"
"2267","365","bath"
"2269","365","sleep"
"2271","365","eat"
"2274","365","become"
"2278","365","desirable"
"2281","365","odor"
"2283","365","habit"
"2290","367","lot"
"2292","367","negro"
"2296","367","like"
"2298","367","whites"
"2306","368","wihte"
"2307","368","people"
"2319","376","fine"
"2320","376","people"
"2323","376","give"
"2331","380","put"
"2336","380","friction"
"2342","381","get"
"2344","381","better"
"2347","381","kind"
"2349","383","southern"
"2350","383","people"
"2353","383","put"
"2354","383","negro"
"2356","383","social"
"2357","383","equality"
"2364","385","south"
"2368","386","people"
"2371","386","satisfy"
"2378","386","kind"
"2380","387","negro"
"2382","387","labor"
"2385","387","heat"
"2387","387","bad"
"2388","387","condition"
"2391","387","white"
"2392","387","man"
"2395","387","intelligence"
"2397","387","operate"
"2399","387","complicated"
"2400","387","machine"
"2401","388","give"
"2404","388","better"
"2405","388","chance"
"2407","388","advancement"
"2409","389","think"
"2412","389","cause"
"2414","389","trouble"
"2420","389","south"
"2424","391","reason"
"2425","392","prejudice"
"2428","393","present"
"2429","393","condition"
"2431","393","friction"
"2433","393","eliminate"
"2436","393","good"
"2437","393","policy"
"2443","396","approve"
"2445","396","white"
"2446","396","officr"
"2449","397","white"
"2452","397","negro"
"2454","397","hard"
"2456","397","get"
"2460","398","white"
"2462","398","negro"
"2465","398","mix"
"2468","398","extent"
"2470","398","live"
"2474","399","better"
"2476","399","morale"
"2478","400","many"
"2479","400","white"
"2480","400","soldier"
"2482","400","prejudice"
"2485","400","negro"
"2487","401","work"
"2489","401","alone"
"2492","401","group"
"2494","402","white"
"2499","402","mix"
"2510","411","much"
"2511","411","race"
"2512","411","hat"
"2516","412","mix"
"2519","412","white"
"2520","412","soldier"
"2525","413","reason"
"2532","414","question"
"2538","416","get"
"2540","416","better"
"2542","416","themselfs"
"2543","417","keep"
"2546","417","place"
"2549","419","reason"
"2551","419","put"
"2553","419","question"
"2558","420","smell"
"2560","420","billy"
"2561","420","goat"
"2567","424","white"
"2568","424","soldier"
"2569","424","want"
"2571","424","work"
"2574","424","negro"
"2580","424","good"
"2581","424","mixer"
"2587","425","like"
"2593","425","way"
"2598","425","poor"
"2601","425","camp"
"2605","425","feel"
"2615","425","army"
"2620","425","get"
"2624","425","bad"
"2625","425","foot"
"2629","427","riot"
"2632","427","take"
"2633","427","place"
"2637","427","time"
"2641","429","believe"
"2645","429","separate"
"2650","429","outfit"
"2654","429","possible"
"2656","429","work"
"2660","429","ideal"
"2662","429","end"
"2665","430","colored"
"2666","430","soldier"
"2668","430","operate"
"2669","430","better"
"2673","430","put"
"2680","430","white"
"2681","430","soldier"
"2690","435","separate"
"2694","435","good"
"2700","438","less"
"2701","438","confusion"
"2707","439","separate"
"2708","439","barrack"
"2711","440","think"
"2713","440","negro"
"2717","440","rights"
"2723","440","negro"
"2726","440","different"
"2727","440","race"
"2729","440","people"
"2734","440","like"
"2736","440","see"
"2738","440","mistreate"
"2743","440","stay"
"2746","440","place"
"2752","440","think"
"2754","440","commission"
"2755","440","officer"
"2757","440","enlist"
"2758","440","man"
"2760","440","come"
"2763","440","different"
"2764","440","class"
"2768","440","remember"
"2772","440","good"
"2773","440","friend"
"2776","440","try"
"2778","440","get"
"2780","440","head"
"2785","440","like"
"2787","440","break"
"2789","440","friendship"
"2795","440","thing"
"2798","440","army"
"2800","440","get"
"2805","440","like"
"2808","440","man"
"2812","440","lord"
"2815","440","pick"
"2819","440","die"
"2824","443","close"
"2825","443","relationship"
"2832","443","want"
"2835","443","sleep"
"2840","444","think"
"2843","444","feel"
"2844","444","better"
"2851","445","trouble"
"2854","445","whites"
"2856","445","put"
"2860","445","negro"
"2862","447","give"
"2865","447","opertunity"
"2866","448","jealousy"
"2868","448","rank"
"2869","448","cause"
"2870","448","fight"
"2875","448","leave"
"2877","448","white"
"2882","448","girl"
"2886","449","habbit"
"2888","449","thought"
"2889","449","differ"
"2893","449","white"
"2899","452","want"
"2901","452","sleep"
"2907","454","avoid"
"2908","454","difference"
"2910","454","opinion"
"2920","456","purpose"
"2928","462","disturbint"
"2930","462","disinterest"
"2932","462","try"
"2934","462","win"
"2935","462","war"
"2940","464","negro"
"2944","464","clean"
"2951","465","negro"
"2956","465","whites"
"2961","465","south"
"2964","466","white"
"2966","466","negro"
"2967","466","solider"
"2968","466","wood"
"2977","472","work"
"2980","472","negro"
"2987","472","white"
"2988","472","man"
"2991","474","work"
"2995","474","whole"
"2997","474","better"
"2998","474","units"
"3000","474","develop"
"3002","474","segreate"
"3007","475","put"
"3011","475","efficiency"
"3014","475","attaine"
"3019","477","lower"
"3021","477","efficiency"
"3024","477","white"
"3025","477","outfit"
"3028","478","get"
"3030","478","better"
"3035","479","get"
"3036","479","idea"
"3038","479","change"
"3040","479","turn"
"3042","479","whole"
"3043","479","outfit"
"3050","480","like"
"3055","481","racial"
"3056","481","friction"
"3063","483","southern"
"3064","483","soldier"
"3072","483","mix"
"3073","484","different"
"3074","484","temperment"
"3076","484","different"
"3077","484","morale"
"3079","484","different"
"3080","484","outlook"
"3082","484","different"
"3083","484","people"
"3095","487","work"
"3098","488","prefer"
"3106","490","south"
"3117","491","southern"
"3118","491","boy"
"3121","491","whole"
"3124","491","relish"
"3126","491","idea"
"3130","494","think"
"3132","494","negro"
"3134","494","happier"
"3136","494","leave"
"3139","495","mix"
"3142","495","create"
"3144","495","disturbance"
"3153","503","order"
"3155","503","keep"
"3157","503","feeling"
"3159","503","white"
"3161","503","black"
"3162","503","separate"
"3164","503","less"
"3165","503","fighting"
"3168","504","negro"
"3171","504","white"
"3172","504","soldier"
"3173","504","woune"
"3174","504","get"
"3180","508","white"
"3181","508","man"
"3185","508","clean"
"3189","510","think"
"3194","510","efficient"
"3196","510","way"
"3200","513","separate"
"3201","513","outfit"
"3203","513","white"
"3205","513","colors"
"3211","515","separate"
"3223","516","get"
"3230","519","old"
"3231","519","case"
"3233","519","racial"
"3234","519","difference"
"3237","519","hard"
"3239","519","stamp"
"3245","522","way"
"3249","522","understand"
"3254","522","little"
"3255","522","contact"
"3269","525","get"
"3276","526","friction"
"3279","526","white"
"3281","526","negro"
"3282","526","soldier"
"3286","528","mix"
"3294","533","friction"
"3297","533","white"
"3299","533","negro"
"3303","533","gather"
"3306","536","ditto"
"3307","537","negro"
"3310","537","negro"
"3314","537","know"
"3316","537","place"
"3319","538","better"
"3322","538","concerned"
"3331","540","outfin"
"3333","540","war"
"3336","540","stay"
"3338","540","home"
"3340","541","individual"
"3344","541","color"
"3345","541","work"
"3350","541","team"
"3354","543","fight"
"3357","543","cause"
"3361","544","negro"
"3362","544","think"
"3365","544","better"
"3372","547","seem"
"3374","547","understand"
"3381","548","better"
"3384","548","reason"
"3391","548","fight"
"3398","552","think"
"3401","552","understand"
"3410","555","many"
"3413","555","company"
"3420","561","say"
"3424","561","standpoint"
"3428","561","southerner"
"3433","562","southern"
"3434","562","man"
"3436","562","include"
"3438","562","outfit"
"3442","562","separate"
"3449","562","man"
"3453","562","need"
"3461","563","trust"
"3465","563","mixed"
"3466","563","outfit"
"3468","563","combat"
"3469","564","separate"
"3470","564","prefer"
"3475","565","like"
"3481","565","negro"
"3487","569","mixed"
"3488","569","outfit"
"3493","569","efficient"
"3496","572","white"
"3497","572","people"
"3500","572","like"
"3502","572","idea"
"3503","572","sleep"
"3505","572","eat"
"3507","572","negro"
"3512","573","question"
"3520","573","think"
"3523","573","test"
"3525","573","monkeying"
"3529","573","lot"
"3531","573","bunk"
"3534","573","enlist"
"3536","573","help"
"3537","573","finish"
"3539","573","war"
"3542","573","hurry"
"3545","573","fooling"
"3549","573","lot"
"3551","573","nonsense"
"3555","575","morale"
"3558","575","better"
"3561","576","feel"
"3562","576","free"
"3564","576","talk"
"3566","576","act"
"3568","576","less"
"3569","576","restraint"
"3573","576","outfit"
"3578","577","negro"
"3580","577","take"
"3584","577","white"
"3585","577","soldier"
"3587","578","reason"
"3593","578","fellow"
"3596","578","south"
"3598","578","hate"
"3600","578","negro"
"3601","579","include"
"3603","579","officer"
"3610","581","think"
"3613","581","make"
"3614","581","better"
"3615","581","soldier"
"3621","582","negro"
"3626","582","good"
"3628","582","fighter"
"3633","582","nasty"
"3634","582","yellow"
"3637","582","unfair"
"3638","582","fighter"
"3644","587","different"
"3645","587","class"
"3648","587","part"
"3653","588","different"
"3654","588","class"
"3656","589","negro"
"3659","589","negro"
"3663","589","keep"
"3666","589","place"
"3670","591","get"
"3673","591","lot"
"3674","591","better"
"3678","591","people"
"3682","592","learn"
"3684","592","work"
"3689","594","grudge"
"3700","598","feel"
"3702","598","satisfied"
"3704","598","white"
"3705","598","commander"
"3706","599","seem"
"3712","599","difference"
"3715","599","standard"
"3717","599","live"
"3719","599","white"
"3721","599","color"
"3722","599","people"
"3727","600","like"
"3729","600","idea"
"3731","600","mix"
"3741","604","get"
"3746","604","long"
"3747","604","time"
"3748","605","negro"
"3750","605","white"
"3751","605","work"
"3757","605","race"
"3760","606","respond"
"3761","606","better"
"3763","606","negro"
"3765","606","come"
"3767","606","officr"
"3770","606","line"
"3771","607","human"
"3772","607","nature"
"3775","607","question"
"3777","608","think"
"3780","608","man"
"3783","608","idea"
"3786","608","future"
"3787","608","life"
"3790","608","war"
"3793","608","make"
"3796","608","better"
"3797","608","fight"
"3798","608","man"
"3807","608","government"
"3809","608","find"
"3811","608","way"
"3813","608","help"
"3816","608","find"
"3818","608","place"
"3820","608","industry"
"3823","608","war"
"3827","609","cause"
"3828","609","bad"
"3829","609","feeling"
"3832","609","soldier"
"3836","610","negro"
"3840","610","lot"
"3841","610","lower"
"3842","610","class"
"3858","618","get"
"3864","620","separating"
"3866","620","cause"
"3868","620","much"
"3869","620","jealousy"
"3871","620","regards"
"3873","620","promotions"
"3874","621","create"
"3875","621","less"
"3876","621","friction"
"3882","626","surest"
"3883","626","way"
"3885","626","ruin"
"3887","626","morale"
"3890","626","races"
"3894","626","mix"
"3901","627","mix"
"3902","627","good"
"3907","627","way"
"3912","628","soldier"
"3916","628","like"
"3917","628","nigger"
"3929","630","reason"
"3931","630","question"
"3937","631","start"
"3939","631","friction"
"3941","631","man"
"3943","632","doubt"
"3945","632","negro"
"3947","632","white"
"3948","632","man"
"3950","632","live"
"3954","632","roof"
"3956","632","stay"
"3957","632","healthy"
"3966","636","want"
"3968","636","negro"
"3969","636","sleeping"
"3971","636","eat"
"3978","636","better"
"3982","637","serve"
"3985","637","mixed"
"3986","637","outfit"
"3988","638","believe"
"3992","638","train"
"3994","638","white"
"3995","638","soldier"
"3999","638","better"
"4000","638","soldier"
"4006","642","colored"
"4007","642","troops"
"4008","643","white"
"4010","643","get"
"4012","643","better"
"4018","643","color"
"4019","643","people"
"4021","645","different"
"4022","645","race"
"4027","645","like"
"4034","646","reason"
"4039","646","live"
"4044","647","reason"
"4047","648","allow"
"4048","648","direct"
"4049","648","contact"
"4052","648","negro"
"4054","649","seem"
"4056","649","team"
"4058","649","better"
"4059","649","separate"
"4067","654","negro"
"4068","654","soldier"
"4071","654","get"
"4078","658","morale"
"4081","658","better"
"4084","659","boy"
"4087","659","south"
"4090","659","mix"
"4093","659","negro"
"4097","660","fancy"
"4099","660","idea"
"4101","660","bunking"
"4106","660","negro"
"4114","666","people"
"4116","666","take"
"4117","666","advantage"
"4124","667","much"
"4125","667","racial"
"4126","667","difficulty"
"4128","668","believe"
"4130","668","self"
"4132","668","white"
"4134","668","negro"
"4135","668","soldier"
"4139","668","separate"
"4141","668","fit"
"4146","669","think"
"4153","669","outfit"
"4154","670","people"
"4157","670","south"
"4160","670","like"
"4166","670","trouble"
"4169","670","feel"
"4178","671","white"
"4181","671","colored"
"4184","671","get"
"4191","674","negro"
"4195","674","abuse"
"4198","674","white"
"4199","674","soldier"
"4202","674","offend"
"4206","675","believe"
"4208","675","mixing"
"4212","675","white"
"4214","675","gather"
"4217","676","reason"
"4218","676","state"
"4220","676","number"
"4226","678","people"
"4227","678","know"
"4229","678","understand"
"4234","678","work"
"4236","678","fight"
"4243","679","get"
"4252","682","much"
"4253","682","fight"
"4259","683","better"
"4261","683","think"
"4264","683","act"
"4268","683","whites"
"4271","685","white"
"4273","685","take"
"4274","685","advantage"
"4276","685","negro"
"4279","685","end"
"4282","685","serious"
"4283","685","trouble"
"4288","686","think"
"4289","686","white"
"4290","686","soldier"
"4294","686","gather"
"4296","686","negro"
"4302","686","get"
"4308","687","extreme"
"4309","687","difference"
"4311","687","live"
"4312","687","condition"
"4314","687","separate"
"4315","687","outfit"
"4318","687","suggest"
"4323","688","fact"
"4324","688","live"
"4327","688","create"
"4328","688","fight"
"4330","688","whereas"
"4334","688","open"
"4339","688","bad"
"4342","690","white"
"4343","690","boy"
"4345","690","damn"
"4346","690","negro"
"4349","690","mix"
"4352","692","get"
"4357","692","separat"
"4362","693","believe"
"4366","693","make"
"4368","693","good"
"4369","693","combat"
"4370","693","outfit"
"4377","696","mix"
"4383","699","fight"
"4389","700","think"
"4393","700","keep"
"4395","700","separate"
"4396","700","outfit"
"4401","701","work"
"4405","701","racial"
"4406","701","hatred"
"4408","701","white"
"4410","701","black"
"4417","703","good"
"4419","703","night"
"4420","703","patrol"
"4423","704","think"
"4424","704","mexican"
"4428","704","separate"
"4429","704","outfit"
"4431","705","white"
"4433","705","negro"
"4434","705","soldier"
"4438","705","get"
"4443","705","drink"
"4446","705","soldier"
"4448","705","drink"
"4450","705","matter"
"4453","706","keep"
"4455","706","fighting"
"4458","707","difference"
"4460","707","race"
"4463","707","people"
"4466","707","stand"
"4468","707","many"
"4469","707","negro"
"4473","708","like"
"4478","708","bunch"
"4480","708","negro"
"4484","709","get"
"4488","709","man"
"4496","711","white"
"4499","711","like"
"4505","711","like"
"4506","711","whites"
"4511","713","many"
"4512","713","kind"
"4514","713","white"
"4515","713","people"
"4522","713","level"
"4523","713","head"
"4528","714","different"
"4529","714","type"
"4531","714","class"
"4533","714","people"
"4537","715","single"
"4538","715","reason"
"4540","715","south"
"4542","715","fellow"
"4544","715","think"
"4547","715","slave"
"4550","715","treat"
"4553","715","dog"
"4560","718","group"
"4562","718","mixed"
"4563","718","races"
"4566","718","color"
"4567","718","man"
"4569","718","die"
"4571","718","quick"
"4574","718","white"
"4576","718","defense"
"4579","718","country"
"4580","719","lowers"
"4581","719","standard"
"4584","719","white"
"4585","719","man"
"4587","719","let"
"4589","719","think"
"4592","719","right"
"4596","719","white"
"4597","719","woman"
"4600","720","think"
"4602","720","lot"
"4604","720","trouble"
"4606","720","start"
"4616","722","cause"
"4617","722","trouble"
"4620","722","whites"
"4623","722","negro"
"4626","723","mean"
"4628","723","platoon"
"4635","723","company"
"4642","727","work"
"4647","727","use"
"4654","728","fight"
"4658","728","country"
"4661","728","flag"
"4667","729","cooperate"
"4675","729","group"
"4690","731","reason"
"4700","735","get"
"4705","737","reason"
"4707","737","state"
"4709","737","question"
"4713","738","people"
"4723","740","stay"
"4726","740","outfit"
"4741","745","work"
"4745","746","look"
"4748","746","disrespect"
"4751","746","southern"
"4755","746","mingle"
"4757","746","negro"
"4763","746","like"
"4768","749","prejudice"
"4773","749","bad"
"4776","749","morale"
"4779","750","think"
"4780","750","individual"
"4781","750","group"
"4783","750","work"
"4786","750","unit"
"4790","750","mixed"
"4797","752","separate"
"4798","752","group"
"4801","752","matter"
"4803","752","much"
"4806","752","mingle"
"4813","756","negro"
"4817","756","separate"
