source,target,weight
px,servic,1
px,club,1
live,realiz,1
live,impract,1
live,hostil,1
live,attitud,1
live,southern,1
live,northern,1
live,filipino,1
live,accept,1
live,rank,1
sleep,eat,0.702109497499409
eat,sleep,0.702109497499409
barrack,messhal,0.702109497499409
live,chines,0.702109497499409
train,soldier,0.569160488765542
sleep,quarter,0.485714285714286
px,reason,0.434433417644404
train,with,0.393610946830482
live,with,0.393610946830482
live,negro,0.31399291281138
px,separ,0.31399291281138
eat,not,0.295506249784961
live,not,0.295506249784961
live,white,0.265372446217138
barrack,outfit,0.254823595718813
barrack,differ,0.254823595718813
barrack,togeth,0.209165006633519
sleep,separ,0.191662969499982
sleep,not,0.176499500658554
barrack,not,0.176499500658554
eat,same,0.157856717400947
live,same,0.157856717400947
sleep,same,0.0488765325324301
barrack,same,0.0488765325324301
