,source,target,weight
1,[/unclear,crowd,1
2,[/unclear,sepert,1
3,[/unclear,want,1
4,60',answer,1
5,abide,spirit,1
6,ability,want,1
7,able,better,1
8,able,get,1
9,able,work,2
10,abuse,soldier,1
11,abuse,white,1
12,abusive,deletion,1
13,accept,rank,1
14,accept,work,1
15,acceptable,majority,1
16,acceptance,negro,1
17,accomplish,separate,1
18,accomplish,units,1
19,accomplishment,negro,1
20,accomplishment,total,1
21,accord,ability,1
22,account,difference,1
23,account,racial,1
24,accustom,association,1
25,accustom,color,1
26,accustom,separate,1
27,achieve,victory,1
28,achievement,unclear,1
29,act,less,1
30,act,officer,1
31,act,restraint,1
32,act,think,1
33,act,whites,1
34,actual,combat,2
35,actual,demonstration,1
36,actual,method,1
37,adapt,climate,1
38,adapt,different,1
39,admit,negro,1
40,advancement,feeling,1
41,advancement,prevent,1
42,advantage,priviledge,1
43,affect,unclear,1
44,afford,dissatisfaction,1
45,afford,thorough,1
46,agree,mingle,1
47,ague,equal,1
48,ague,give,1
49,ague,rights,1
50,alien,poor,1
51,alien,race,1
52,allow,contact,1
53,allow,direct,1
54,allow,fight,1
55,allow,intermingling,1
56,allow,live,1
57,allow,mix,1
58,allow,possible,1
59,allow,races,1
60,allow,train,1
61,allow,white,1
62,alone,group,1
63,alow,allow,1
64,alright,friend,1
65,alright,place,1
66,ambitious,man,1
67,ambitious,profit,1
68,american,black,1
69,american,person,1
70,american,rights,1
71,amount,lost,1
72,amount,motion,1
73,amount,negroe,1
74,amount,white,1
75,answer,get,1
76,answer,last,1
77,answer,question,3
78,anthr,better,1
79,anti-negro,organization,1
80,anti-negro,retard,1
81,apply,education,1
82,apply,practical,1
83,approve,officr,1
84,approve,white,1
85,area,one,1
86,argue,work,1
87,argument,fight,1
88,argument,friction,1
89,argument,separate,1
90,argument,trouble,1
91,army,afford,1
92,army,become,1
93,army,camp,1
94,army,Corps,1
95,army,family,1
96,army,get,1
97,army,gut,1
98,army,instance,1
99,army,life,2
100,army,live,1
101,army,man,1
102,army,outfit,1
103,army,separate,1
104,army,signal,1
105,army,sit,1
106,army,stomach,1
107,army,strict,1
108,army,subscribe,1
109,army,war,1
110,army,white,1
111,Army,force,1
112,Army,know,1
113,asham,tell,1
114,asham,truth,1
115,assault,battery,1
116,associate,negro,1
117,associate,negroe,2
118,associate,people,1
119,associate,white,1
120,association,emphasize,1
121,attain,larged,1
122,attain,quide,1
123,attitude,capacity,1
124,attitude,know,1
125,attitude,Negro,1
126,attitude,Northern,1
127,attitude,southern,1
128,attitude,whites,1
129,average,negro,1
130,average,reckless,1
131,avoid,difference,1
132,avoid,disorder,1
133,avoid,jelousy,1
134,avoid,oppinion,1
135,avoid,riot,1
136,avoid,separate,1
137,avoid,trouble,1
138,background,different,1
139,background,soldier,1
140,bad,body,1
141,bad,bring,1
142,bad,business,1
143,bad,condition,1
144,bad,detrimental,1
145,bad,epnian,1
146,bad,feeling,2
147,bad,felling,1
148,bad,foot,1
149,bad,let,1
150,bad,many,1
151,bad,moral,1
152,bad,negroe,1
153,bad,oder,1
154,bad,odor,1
155,bad,people,1
156,bad,perspire,1
157,bad,practice,1
158,bad,reason,1
159,bad,soldier,1
160,bad,stay,1
161,bad,unclear,1
162,bad,white,2
163,barrack,bad,1
164,barrack,different,1
165,barrack,hall,1
166,barrack,mess,1
167,barrack,Negro,1
168,barrack,work,1
169,basic,come,1
170,basic,training,1
171,bath,eat,1
172,bath,sleep,1
173,battle,bettween,1
174,battle,else,1
175,battle,man,1
176,battlefront,share,1
177,bear,natural,1
178,bear,negro,1
179,bear,prejudice,1
180,bear,south,1
181,bear,teaching,1
182,become,accustom,1
183,become,association,1
184,become,color,1
185,become,desirable,1
186,become,friendly,1
187,become,higher,1
188,become,strict,1
189,become,violent,1
190,behave,act,1
191,beleve,negro,1
192,beleve,understand,1
193,belief,tradition,1
