,source,target,weight
194,belief,train,1
195,believe,best,1
196,believe,better,2
197,believe,feel,1
198,believe,fraternalize,1
199,believe,give,1
200,believe,happier,2
201,believe,keep,3
202,believe,live,1
203,believe,make,1
204,believe,mixen,1
205,believe,negroe,3
206,believe,result,1
207,believe,segregation,1
208,believe,self,1
209,believe,separate,1
210,believe,southern,1
211,believe,train,1
212,believe,white,1
213,believe,White,1
214,believe,whites,1
215,believe,work,2
216,belong,negroe,1
217,benefit,much,1
218,benefit,races,1
219,best,effort,1
220,best,interest,1
221,best,keep,2
222,best,separate,1
223,best,separated,1
224,best,soldier,1
225,best,training,1
226,best,unclear,1
227,best,volunteer,1
228,better,advance,2
229,better,advancement,3
230,better,army,1
231,better,break,1
232,better,camp,1
233,better,cause,1
234,better,chance,8
235,better,color,1
236,better,combine,1
237,better,come,1
238,better,concerned,4
239,better,condition,1
240,better,cooperation,4
241,better,develope,1
242,better,exist,1
243,better,feeling,1
244,better,fight,1
245,better,fighting,1
246,better,get,1
247,better,group,3
248,better,harmony,2
249,better,higher,1
250,better,intelligent,1
251,better,keep,2
252,better,kind,2
253,better,less,1
254,better,lot,1
255,better,majority,1
256,better,make,1
257,better,man,3
258,better,member,1
259,better,mix,3
260,better,morale,1
261,better,negro,3
262,better,negroe,1
263,better,officer,1
264,better,opportunity,1
265,better,outfit,12
266,better,people,3
267,better,position,1
268,better,post-war,1
269,better,promotion,1
270,better,put,1
271,better,race,5
272,better,reason,1
273,better,result,1
274,better,separate,10
275,better,serve,1
276,better,show,2
277,better,soldier,7
278,better,spirit,1
279,better,team,4
280,better,themselfs,1
281,better,think,1
282,better,time,1
283,better,togeather,1
284,better,training,1
285,better,treatment,1
286,better,trouble,1
287,better,unclear,1
288,better,understanding,2
289,better,unit,3
290,better,units,1
291,better,way,1
292,better,white,3
293,better,work,2
294,bettween,sic,1
295,betwen,negro,1
296,betwen,white,1
297,big,black,1
298,big,car,1
299,bigote,army,1
300,bigote,person,1
301,bigoted,live,1
302,bind,brother,1
303,bink,negro,1
304,bitter,soldier,1
305,bitter,white,1
306,black,car,1
307,black,cleaner,1
308,black,fighting,1
309,black,get,1
310,black,less,1
311,black,man,2
312,black,mix,1
313,black,officer,1
314,black,race,3
315,black,separate,2
316,black,soldier,1
317,black,stripe,1
318,black,take,1
319,black,white,6
320,black,work,1
321,blacks,prejudice,1
322,blacks,racial,1
323,blacks,white,1
324,blend,negro,1
325,blend,white,1
326,blind,whites,1
327,blood,battlefront,1
328,body,cleanliness,1
329,body,light,1
330,body,mind,1
331,body,odor,2
332,bound,arise,1
333,bound,discord,1
334,bound,trouble,1
335,boy,boy,1
336,boy,dam,1
337,boy,feel,1
338,boy,get,1
339,boy,like,1
340,boy,lot,1
341,boy,mix,1
342,boy,negro,2
343,boy,ordr,1
344,boy,resent,1
345,boy,smarter,1
346,boy,south,1
347,boy,take,1
348,boy,unclear,1
349,boy,want,1
350,boy,war,1
351,boy,whole,1
352,boys,corps,1
353,break,custom,1
354,break,friendship,1
355,break,mix,1
356,break,white,1
357,breed,discontent,1
358,breed,man,1
359,breed,understanding,1
360,bring,better,1
361,bring,disharmony,1
362,bring,friction,1
363,bring,negroe,1
364,bring,relationship,1
365,bring,understanding,1
366,bring,white,1
367,broadmind,people,1
368,broadmind,understanding,1
369,brother,brother,1
370,brother,common,1
371,brother,much,1
372,building,morale,1
373,bully,private,1
374,bully,white,1
375,bunch,look,1
376,bunch,poor,1
377,bunch,southerner,1
378,bunk,enlist,1
379,business,many,1
380,business,reason,1
381,C.o,white,1
382,call,buddie,1
383,call,negro,1
384,camp,basic,1
385,camp,feel,1
386,camp,officer,1
387,camp,start,1
388,camp,thay,1
389,camp,training,1
390,can,get,1
391,can,see,1
392,can,thing,1
393,capable,different,1
394,capable,type,1
395,car,stripe,1
396,car,suit,1
397,care,bink,1
398,care,man,1
399,care,mix,2
400,care,negro,1
401,care,negroe,1
402,care,next,1
403,care,object,1
404,care,sleep,2
405,carry,diseases,1
406,carry,thing,1
407,case,difference,1
408,case,racial,1
409,case,use,1
410,cast,predejectry,1
411,cast,tridition,1
412,cause,bad,1
413,cause,believe,1
414,cause,complication,1
415,cause,defeat,1
416,cause,dissention,1
417,cause,disturbance,1
418,cause,disunity,1
419,cause,feeling,1
420,cause,fight,3
421,cause,friction,3
422,cause,indifference,1
423,cause,jealousy,1
424,cause,jelousy,1
425,cause,less,1
426,cause,lot,2
427,cause,many,1
428,cause,much,3
429,cause,negro,1
430,cause,person,1
431,cause,racial,1
432,cause,reason,1
433,cause,riot,1
434,cause,see,1
435,cause,segregation,1
436,cause,serious,1
437,cause,Soldiers,1
438,cause,southern,1
439,cause,take,1
440,cause,trouble,9
441,cause,unclear,1
442,cause,war,1
443,cause,white,1
444,cent,get,1
445,cent,many,1
446,cent,negroe,1
447,cent,stand,1
448,cent,trust,1
449,certain,many,1
450,certain,way,1
451,certain,white,1
452,chain,strong,1
453,chance,ability,1
454,chance,advance,1
455,chance,advancement,4
456,chance,discontentment,1
457,chance,express,1
458,chance,friction,3
459,chance,full,1
460,chance,life,1
461,chance,outfit,1
462,chance,persons,1
463,chance,prevent,1
464,chance,promotion,1
465,chance,prove,3
466,chance,race,1
467,chance,racial,1
468,chance,riot,1
469,chance,serve,1
470,chance,share,1
471,chance,show,2
472,chance,undesirable,1
473,chance,undesireable,1
474,chance,white,2
475,chance,worth,1
476,change,army,2
477,change,belief,1
478,change,mind,1
479,change,tradition,1
480,change,turn,1
481,change,whole,1
482,characteristic,unclear,1
483,check,mark,1
484,chinese,accept,1
485,chinese,american,1
486,choose,fight,1
487,city,negro,1
488,city,run,1
489,civil,war,1
490,civilian,life,3
491,civilian,negro,1
492,civilize,people,1
493,class,man,1
494,class,part,1
495,class,people,3
496,class,race,1
497,class,remember,1
498,class,Whites,1
499,classify,limit,1
500,classify,service,1
501,clean,man,1
502,clean,people,1
503,clean,wer,1
504,clean,white,2
505,climate,white,1
506,close,association,1
507,close,discord,1
508,close,emphasize,1
509,close,harmony,1
510,close,little,1
511,close,relationship,1
512,code,instuctor,1
513,code,phase,1
514,cold,time,1
515,colo,people,1
516,color,association,1
517,color,boy,1
518,color,boys,1
519,color,cause,1
520,color,creed,1
521,color,die,1
522,color,dirty,1
523,color,feel,1
524,color,fight,1
525,color,look,1
526,color,man,3
527,color,many,1
528,color,mix,2
529,color,negroe,1
530,color,object,1
531,color,people,3
532,color,race,3
533,color,think,1
534,color,Whites,1
535,color,work,1
536,colored,better,1
537,colored,get,1
538,colored,happier,1
539,colored,inferior,1
540,colored,man,2
541,colored,mix,1
542,colored,officer,1
543,colored,operate,1
544,colored,people,1
545,colored,race,3
546,colored,separate,1
547,colored,soldier,1
548,colored,southerner,1
549,colored,troops,2
550,colored,unclear,2
551,colored,white,2
552,colored,work,1
553,combat,area,1
554,combat,duty,1
555,combat,group,1
556,combat,keep,1
557,combat,make,1
558,combat,one,1
559,combat,outfit,1
560,combat,serve,1
561,combat,zone,1
562,combine,outfit,1
563,combine,races,1
564,come,camp,1
565,come,city,1
566,come,class,1
567,come,different,1
568,come,fight,1
569,come,intermingling,1
570,come,large,1
571,come,liive,1
572,come,negro,2
573,come,officr,1
574,come,old,1
575,come,safe,1
576,come,south,1
577,come,think,1
578,comfortable,live,1
579,comm,com,1
580,comm,non,1
581,commen,common,1
582,comment,apply,1
583,comment,make,3
584,comment,question,1
585,comment,wish,1
586,commision,enlist,1
587,commision,man,1
588,commision,officer,1
589,commissione,officer,1
590,common,cause,1
591,common,level,1
592,common,negro,1
593,company,soldier,1
594,compete,soldier,1
595,compete,white,1
596,competion,competition,1
597,competition,unified,1
598,competitive,spirit,1
599,competitive,unclear,1
600,complete,equal,1
601,complete,unity,1
602,complex,men,1
603,complex,result,1
604,complicated,machine,1
605,concentrate,problem,1
606,concerned,think,1
607,concerning,conduct,1
608,concerning,whites,1
609,condition,camp,1
610,condition,change,1
611,condition,different,1
612,condition,eliminate,1
613,condition,friction,1
614,condition,long,1
615,condition,make,1
616,condition,man,1
617,condition,outfit,1
618,condition,races,1
619,condition,separate,1
620,condition,soldier,1
621,condition,white,1
622,conduct,become,1
623,conduct,whites,1
624,connect,outfit,1
625,considerate,insertion,1
626,constant,contention,1
627,constant,quarrel,1
628,constter,good,1
629,constter,selve,1
630,contact,negro,1
631,contact,negroe,1
632,contention,bound,1
633,continue,sort,1
634,Contradiction,ordr,1
635,cooperate,better,3
636,cooperate,noncommissioned,1
637,cooperate,officer,1
638,cooperate,officr,1
639,cooperate,outfit,1
640,cooperate,separate,1
641,cooperation,keep,1
642,cooperation,mix,2
643,cooperation,outfit,1
644,cooperation,separate,1
645,cooperation,way,1
646,corps,bear,1
647,corps,natural,1
648,cotofer,unclear,1
649,couldent,get,1
650,country,civilize,1
651,country,negro,1
652,country,people,1
653,country,seldom,1
654,country,think,1
655,country,white,1
656,country,world,1
657,court,eat,1
658,court,martial,1
659,courtmartial,assault,1
660,courtmartial,day,1
661,create,Disturbance,1
662,create,fight,1
663,create,friction,1
664,create,interest,1
665,create,lack,1
666,create,less,1
667,create,outfit,1
668,create,trouble,2
669,create,whereas,1
670,credit,achievement,1
671,credit,credit,1
672,credit,race,1
673,creed,bind,1
674,criminal,intent,1
675,custom,tradition,1
676,customs,belief,1
677,dam,mix,1
678,dam,negro,1
679,damne,sleep,1
680,date,accustom,1
681,day,assault,1
682,day,battery,1
683,deal,hurrie,1
684,deal,negro,1
685,deal,prejudice,1
686,deal,race,2
687,deal,unclear,1
688,decrid,unclear,1
689,definite,thing,1
690,definite,way,1
691,defnitley,outfit,1
692,defnitley,separate,1
693,deletion,abusive,1
694,deletion,deletion,8
695,deletion,fight,1
696,deletion,get,1
697,deletion,outfit,1
698,deletion,people,1
699,deletion,work,1
700,democratic,leave,1
701,democratic,thing,1
702,demonstration,method,1
703,depend,amount,1
704,depend,circumstance,1
705,depend,individual,1
706,depend,locale,1
707,depend,negro,1
708,depend,section,1
709,Desecration,rank,1
710,desirable,odor,1
711,destroy,apply,1
712,detrimental,moral,1
713,develop,separate,1
714,develope,segreate,1
715,DEVENRTy,different,1
716,DEVENRTy,Outlook,1
717,devils,human,1
718,die,quick,1
719,diease,whites,1
720,difer,race,1
721,differ,character,1
722,differ,much,1
723,differ,spend,1
724,differance,race,1
725,difference,civilian,1
726,difference,class,1
727,difference,condition,2
728,difference,create,1
729,difference,good,1
730,difference,habit,1
731,difference,hard,1
732,difference,live,4
733,difference,living,1
734,difference,negro,1
735,difference,nerve,1
736,difference,oppinion,1
737,difference,soldier,1
738,difference,standard,2
739,difference,tend,1
740,difference,trouble,1
741,difference,way,1
742,different,agree,1
743,different,attitude,1
744,different,barrack,1
745,different,belief,1
746,different,civilian,1
747,different,clase,1
748,different,class,4
749,different,climate,1
750,different,coler,1
751,different,color,1
752,different,combat,1
753,different,company,2
754,different,country,1
755,different,customs,1
756,different,difference,1
757,different,different,4
758,different,group,1
759,different,habit,2
760,different,hall,1
761,different,idea,3
762,different,life,1
763,different,living,2
764,different,lower,1
765,different,man,1
766,different,mess,1
767,different,morale,1
768,different,national,1
769,different,nature,1
770,different,Northern,1
771,different,outfit,2
772,different,outlook,1
773,different,Outlook,1
774,different,part,2
775,different,people,6
776,different,person,1
777,different,race,6
778,different,races,1
779,different,regiment,1
780,different,respects,1
781,different,section,1
782,different,separation,1
783,different,serve,1
784,different,soldier,1
785,different,standard,2
786,different,temperment,1
787,different,thing,1
788,different,type,2
789,different,unclear,4
790,different,uniform,1
791,different,way,3
792,different,white,6
793,difficulty,prejudice,1
794,difficulty,race,1
795,difrent,Pepule,1
796,difrent,tip,1
797,direct,contact,1
798,direct,first,1
799,direct,negro,1
800,direct,variance,1
801,dirty,body,1
802,dirty,fellow,1
803,dirty,human,1
804,dirty,many,1
805,dirty,mind,1
806,dirty,unclear,1
807,dirty,white,1
808,disastr,arise,1
809,disastr,faction,1
810,discontent,man,1
811,discord,avoid,1
812,discord,negroe,1
813,discord,Negroes,1
814,discrepacy,officr,1
815,discrepacy,white,1
816,discriminate,colored,1
817,discriminate,white,1
818,discrimination,cause,1
819,discrimination,disunity,1
820,discrimmation,prejudice,1
821,discrimmation,racial,1
822,discuss,condition,1
823,Disease,high,1
824,Disease,rate,1
825,diseases,spread,1
826,dislike,mixing,1
827,dislike,negro,2
828,dislike,people,1
829,dislike,white,1
830,disliking,many,1
831,disliking,white,1
832,dissatisfaction,resentment,1
833,dissention,man,1
834,distinction,people,1
835,distinction,power,1
836,distinction,race,1
837,distinction,white,1
838,disturbance,mix,1
839,disturbance,unclear,1
840,disunity,disunity,1
841,disunity,lose,1
842,disunity,war,1
843,dorp,drop,1
844,doubt,negros,1
845,doubt,want,1
846,doubt,white,1
847,dress,unclear,1
848,drill,eat,1
849,drill,man,1
850,drill,sleep,1
851,drill,white,1
852,drink,matter,1
853,drink,soldier,1
854,drive,garbage,1
855,drive,man,1
856,drop,happen,1
857,drop,moral,1
858,ease,comfort,1
859,easier,discipline,1
860,easier,maintain,1
861,eat,become,1
862,eat,essential,1
863,eat,know,1
864,eat,live,1
865,eat,mess,2
866,eat,negro,2
867,eat,negroe,2
868,eat,sleep,3
869,eat,whites,1
870,educate,show,1
871,education,actual,1
872,educational,body,1
873,educational,cleanliness,1
874,efficiency,attaine,1
875,efficiency,lose,1
876,efficiency,lowere,1
877,efficiency,outfit,3
878,efficiency,white,1
879,efficient,Negros,1
880,efficient,way,1
881,effort,lower,1
882,effort,meaning,1
883,effort,morale,1
884,effort,unclear,1
885,effort,understand,1
886,either,put,1
887,element,work,1
888,eliminate,argument,1
889,eliminate,good,1
890,eliminate,policy,1
891,else,bettween,1
892,else,sic,1
893,eme,unclear,1
894,emergency,come,1
895,enable,co.operate,1
896,end,serious,1
897,end,trouble,2
898,enjoy,way,1
899,enlist,come,1
900,enlist,finish,1
901,enlist,help,1
902,enlist,man,1
903,enmity,troops,1
904,enough,boat,1
905,enough,broadmind,1
906,enough,fit,1
907,enough,life,1
908,enough,lose,1
909,enough,outfit,1
910,enough,people,1
911,enough,room,1
912,enough,southerner,1
913,enough,understanding,1
914,entitle,rights,1
915,equal,chance,1
916,equal,people,1
917,equal,privileges,1
918,equal,rank,1
919,equal,rights,2
920,equal,treatment,1
921,equal,white,2
922,equipment,connect,1
923,equipment,outfit,1
924,essential,army,1
925,essential,perform,1
926,eternal,question,1
927,eternal,races,1
928,eternal,superior,1
929,exception,cent,1
930,exception,trust,1
931,excuse,trouble,1
932,excuse,Whites,1
933,exist,common,1
934,exist,higher,1
935,exist,level,1
936,exist,spirit,1
937,exist,unclear,1
938,expect,carry,1
939,experienced,trainy,1
940,explain,unclear,1
941,extent,live,1
942,extreme,come,1
943,extreme,condition,1
944,extreme,difference,1
945,extreme,emergency,1
946,extreme,live,1
947,face,kind,1
948,fact,create,1
949,fact,live,1
950,fact,need,1
951,fact,negro,1
952,fact,negroe,1
953,fact,northern,1
954,faction,arise,1
955,factor,result,1
956,fair,either,1
957,fair,put,1
958,familiar,code,1
959,family,furlough,1
960,family,get,1
961,fancy,bunking,1
962,fancy,idea,1
963,favoritism,color,1
964,fealing,people,1
965,feel,better,10
966,feel,equal,1
967,feel,free,1
968,feel,home,1
969,feel,inferior,3
970,feel,natural,1
971,feel,negroe,2
972,feel,place,2
973,feel,satisfied,1
974,feel,soldier,1
975,feel,talk,1
976,feel,unclear,3
977,feel,unequal,1
978,feel,white,3
979,feel,work,1
980,feeling,black,1
981,feeling,detrimental,1
982,feeling,favoritism,1
983,feeling,great,1
984,feeling,man,1
985,feeling,member,1
986,feeling,moral,1
987,feeling,races,1
988,feeling,soldier,1
989,feeling,unclear,1
990,feeling,unity,1
991,feeling,white,2
992,fell,man,1
993,fell,next,1
994,felling,people,1
995,felling,white,1
996,fellow,get,1
997,fellow,like,2
998,fellow,man,2
999,fellow,member,1
1000,fellow,negro,1
1001,fellow,negroe,1
1002,fellow,react,1
1003,fellow,sleeping,1
1004,fellow,soldier,1
1005,fellow,south,1
1006,fellow,stand,1
1007,fellow,think,2
1008,fellow,want,1
1009,fellows,soldier,1
1010,fellows,white,1
1011,fight,battle,1
1012,fight,better,5
1013,fight,cause,4
1014,fight,country,1
1015,fight,cuuse,1
1016,fight,disorder,1
1017,fight,enemy,1
1018,fight,equal,1
1019,fight,feel,1
1020,fight,fellow,1
1021,fight,forget,1
1022,fight,freedom,1
1023,fight,get,1
1024,fight,give,1
1025,fight,harder,1
1026,fight,interspersed,1
1027,fight,killing,1
1028,fight,man,1
1029,fight,mix,1
1030,fight,much,1
1031,fight,negro,3
1032,fight,people,1
1033,fight,race,1
1034,fight,reason,1
1035,fight,rights,1
1036,fight,ring,1
1037,fight,riot,1
1038,fight,selfs,1
1039,fight,selve,1
1040,fight,separate,3
1041,fight,side,3
1042,fight,Soldiers,1
1043,fight,sort,1
1044,fight,southern,1
1045,fight,thing,1
1046,fight,time,1
1047,fight,top,1
1048,fight,trouble,1
1049,fight,unit,1
1050,fight,war,2
1051,fight,whereas,1
1052,fight,white,3
1053,fight,whites,2
1054,fightig,liberation,1
1055,fightig,war,1
1056,fighting,mark,1
1057,fighting,outfit,1
1058,fighting,unit,1
1059,fighting,want,1
1060,find,civilian,1
1061,find,help,1
1062,find,industry,1
1063,find,life,1
1064,find,opinion,1
1065,find,place,1
1066,find,way,1
1067,fine,child,1
1068,fine,give,1
1069,fine,man,1
1070,fine,people,1
1071,finish,war,1
1072,fire,range,1
1073,first,accept,1
1074,first,part,1
1075,first,people,1
1076,first,train,1
1077,first,training,1
1078,fit,white,1
1079,fite,drop,1
1080,follow,know,1
1081,follow,Officer,1
1082,food,army,1
1083,food,ration,1
1084,fooling,lot,1
1085,force,O.k,1
1086,force,obey,1
1087,forget,race,1
1088,form,trouble,1
1089,foxcut,one,1
1090,fraternalize,negroe,1
1091,free,act,1
1092,free,talk,1
1093,freedom,believe,1
1094,fresh,minds,1
1095,friction,betwen,1
1096,friction,colored,1
1097,friction,eliminate,1
1098,friction,keep,2
1099,friction,man,1
1100,friction,negro,1
1101,friction,negroe,1
1102,friction,Negroes,1
1103,friction,races,1
1104,friction,time,1
1105,friction,trouble,1
1106,friction,unclear,1
1107,friction,white,3
1108,friction,whites,1
1109,friction,Whites,1
1110,friend,try,1
1111,full,achievement,1
1112,full,credit,1
1113,full,share,1
1114,function,better,1
1115,function,kind,1
1116,function,unit,1
1117,function,work,1
1118,furlough,help,1
1119,furlough,outfit,1
1120,future,life,1
1121,future,war,1
1122,gain,basic,1
1123,gain,good,1
1124,gain,reputation,1
1125,garbage,man,1
1126,gather,cause,1
1127,gather,different,1
1128,gather,thing,1
1129,general,get,1
1130,general,race,1
1131,general,rule,1
1132,general,service,1
1133,get,battle,1
1134,get,beter,1
1135,get,better,26
1136,get,break,1
1137,get,chance,1
1138,get,change,1
1139,get,complete,1
1140,get,credit,2
1141,get,equal,2
1142,get,fellow,1
1143,get,full,1
1144,get,furlough,1
1145,get,gather,1
1146,get,good,3
1147,get,group,1
1148,get,head,1
1149,get,hot,1
1150,get,idea,1
1151,get,job,1
1152,get,less,1
1153,get,long,1
1154,get,lot,3
1155,get,man,1
1156,get,mixed,1
1157,get,negro,2
1158,get,negroe,4
1159,get,opinion,1
1160,get,outfit,2
1161,get,separate,2
1162,get,soldier,1
1163,get,themselfs,1
1164,get,think,1
1165,get,togeather,1
1166,get,treatment,2
1167,get,trouble,1
1168,get,unclear,1
1169,get,water,1
1170,get,well,1
1171,get,white,3
1172,get,work,1
1173,gether,negro,1
1174,git,better,1
1175,git,get,1
1176,give,best,1
1177,give,better,2
1178,give,big,1
1179,give,black,1
1180,give,boys,1
1181,give,break,1
1182,give,chance,5
1183,give,color,1
1184,give,Creep,1
1185,give,crit,1
1186,give,direct,1
1187,give,equal,2
1188,give,furlough,1
1189,give,inch,1
1190,give,individual,1
1191,give,last,1
1192,give,man,1
1193,give,negro,2
1194,give,negroe,1
1195,give,opertunity,1
1196,give,order,2
1197,give,pride,1
1198,give,prove,1
1199,give,question,1
1200,give,rank,1
1201,give,rights,1
1202,give,soldier,1
1203,give,sort,1
1204,give,spirit,1
1205,give,stripe,1
1206,give,training,1
1207,give,unclear,1
1208,give,white,2
1209,good,american,1
1210,good,army,1
1211,good,bad,1
1212,good,bunch,1
1213,good,combat,1
1214,good,competition,1
1215,good,deal,1
1216,good,drive,1
1217,good,enough,1
1218,good,find,1
1219,good,fiter,1
1220,good,friend,1
1221,good,give,1
1222,good,idea,5
1223,good,insertion,1
1224,good,keep,1
1225,good,kind,1
1226,good,know,1
1227,good,look,1
1228,good,lose,1
1229,good,man,2
1230,good,many,2
1231,good,mixer,1
1232,good,much,1
1233,good,negro,1
1234,good,negroe,1
1235,good,night,1
1236,good,outfit,3
1237,good,overlook,1
1238,good,patrol,1
1239,good,place,1
1240,good,policy,1
1241,good,poor,1
1242,good,prejudice,1
1243,good,race,1
1244,good,races,1
1245,good,racial,1
1246,good,record,1
1247,good,reputation,1
1248,good,soldier,3
1249,good,thang,1
1250,good,thing,1
1251,good,thought,1
1252,good,truck,1
1253,good,try,1
1254,good,unified,1
1255,good,use,1
1256,good,whit,1
1257,good,white,2
1258,good,whites,1
1259,good,word,1
1260,good,year,1
1261,government,find,1
1262,government,way,1
1263,gradual,process,1
1264,grate,army,1
1265,grave,mistake,1
1266,grave,try,1
1267,great,color,1
1268,great,deal,2
1269,great,hurrie,1
1270,great,many,1
1271,great,mix,1
1272,great,unclear,1
1273,greatest,builders,1
1274,greatest,moral,1
1275,group,best,1
1276,group,cast,1
1277,group,comfortable,1
1278,group,differ,1
1279,group,effort,1
1280,group,feel,1
1281,group,get,1
1282,group,matter,1
1283,group,mixed,1
1284,group,much,1
1285,group,races,1
1286,group,serve,1
1287,group,spend,1
1288,group,stay,1
1289,group,tridition,1
1290,group,try,1
1291,group,work,2
1292,grudge,negro,1
1293,gut,foot,1
1294,habit,color,1
1295,habit,living,1
1296,habit,race,2
1297,habit,respects,1
1298,habit,standard,1
1299,hall,sleep,2
1300,hall,work,1
1301,handle,races,1
1302,happen,negro,1
1303,happen,think,1
1304,happier,better,1
1305,happier,buddy,1
1306,happier,leave,1
1307,happier,negroe,1
1308,happier,outfit,1
1309,happier,way,1
1310,hard,break,1
1311,hard,custom,1
1312,hard,feeling,2
1313,hard,get,2
1314,hard,insertion,1
1315,hard,job,1
1316,hard,races,1
1317,hard,stamp,1
1318,hard,white,1
1319,harder,alone,1
1320,harmony,combine,1
1321,harmony,develop,1
1322,harmony,discord,1
1323,harmony,little,1
1324,harmony,organization,1
1325,harmony,result,1
1326,hate,negro,1
1327,hatered,cause,1
1328,hatered,colored,1
1329,hatered,many,1
1330,hatred,Black,1
1331,hatred,white,1
1332,head,insertion,1
1333,health,race,1
1334,heart,fighting,1
1335,heart,soldier,1
1336,heart,thank,1
1337,heat,bad,1
1338,heat,condition,1
1339,heate,argument,1
1340,heate,trouble,1
1341,hell,country,1
1342,hell,pay,1
1343,hell,whole,1
1344,help,bear,1
1345,help,better,1
1346,help,bring,1
1347,help,building,1
1348,help,find,1
1349,help,finish,1
1350,help,friction,1
1351,help,idea,1
1352,help,lot,1
1353,help,morale,2
1354,help,negro,1
1355,help,prevent,1
1356,help,relationship,1
1357,help,remove,1
1358,help,war,1
1359,help,whites,1
1360,high,person,1
1361,high,white,1
1362,higher,class,1
1363,higher,intelligent,1
1364,higher,people,1
1365,higher,spirit,2
1366,higher,Whites,1
1367,hold,negro,1
1368,hold,soldier,1
1369,hold,white,1
1370,home,kind,1
1371,home,live,1
1372,home,state,1
1373,hostile,attitude,1
1374,hostile,southern,1
1375,hostile,whites,1
1376,hot,water,1
1377,human,diease,1
1378,human,fight,1
1379,human,many,1
1380,human,nature,2
1381,human,question,1
1382,hurrie,wait,1
1383,hurry,fooling,1
1384,hygene,morale,1
1385,idea,bunking,1
1386,idea,change,1
