source,target,weight
fort,huachuca,0.40645062303199
ride,bu,0.392247082572248
sleep,bunk,0.370982629342389
bed,check,0.334528058569546
cafe,kitchen,0.315023386994412
px,club,0.314219599421558
cafe,door,0.313721826681523
fort,custer,0.295996778730629
sleep,spring,0.295996778730629
sleep,wooden,0.295996778730629
fort,arizona,0.269525767755256
seat,bu,0.252574302850391
cafe,sit,0.246754367899414
sit,cafe,0.246754367899414
barrack,tent,0.246360570109837
town,bu,0.244877991582457
seat,ride,0.24431875973289
ride,seat,0.24431875973289
cafe,meal,0.237188874904424
sleep,grind,0.237140520774474
camp,town,0.235042800056482
town,camp,0.235042800056482
serviceclub,px,0.228072567668325
px,serviceclub,0.228072567668325
theater,px,0.218288417926283
px,theater,0.218288417926283
transport,facil,0.214305034396163
theater,cracker,0.209377147474398
sit,bu,0.207324828262313
transport,bu,0.201454753281521
transport,poor,0.200468967540393
ride,car,0.198880622602927
theater,sit,0.19827761000887
sit,theater,0.19827761000887
sit,kitchen,0.196018804127227
fort,oklahoma,0.19049981707118
home,furlough,0.190201198934633
bed,sleep,0.188882786003945
sleep,bed,0.188882786003945
cafe,hotel,0.188203645538131
seat,ticket,0.185508453522084
home,wife,0.18543532706531
serviceclub,75,0.182883448457784
sleep,eat,0.181958311467523
eat,sleep,0.181958311467523
cafe,armyexchang,0.181317362041014
cafe,milk,0.181317362041014
px,separ,0.175882275403984
home,famili,0.175795970387231
home,month,0.174542392227171
transport,camp,0.17350873703444
camp,transport,0.17350873703444
barrack,poorli,0.172658350577132
transport,town,0.172488026516583
town,transport,0.172488026516583
live,countri,0.167878870372418
eat,sick,0.166820464545596
seat,sit,0.16561151753593
sit,seat,0.16561151753593
barrack,danc,0.164328432573641
seat,recent,0.164119464308628
camp,bu,0.163549970598366
station,north,0.162480381487118
town,pass,0.16177995261359
sleep,wood,0.160872825564016
armycamp,adequ,0.160540749107581
live,die,0.160243130579607
px,tent,0.159010152701863
town,polic,0.158804149044353
bed,pack,0.158708024843262
live,happi,0.157516091668879
eat,tabl,0.157095157049768
camp,north,0.157025693478186
sleep,decent,0.155663669152141
theater,occupi,0.155417239209237
post,passeng,0.153813043704011
live,togeth,0.152063439917812
sit,armyexchang,0.150444646837391
