source,target,weight
live,with,7
eat,with,6
sleep,with,5
same,barrack,4
live,togeth,3
sleep,eat,3
eat,togeth,2
live,differ,2
live,separ,2
not,live,2
same,camp,2
same,messhal,2
barrack,with,1
bath,sleep,1
eat,sleep,1
fort,crook,1
home,with,1
id,sleep,1
latrin,with,1
live,apart,1
live,bath,1
live,eat,1
live,sleep,1
live,tight,1
movi,px,1
not,eat,1
px,idea,1
px,togeth,1
same,latrin,1
same,px,1
sleep,alongsid,1
sleep,bath,1
sleep,togeth,1
togeth,eat,1
train,hard,1
train,togeth,1
white,live,1
