"","x"
"1","good"
"2","fair"
"3","treat"
"4","reason"
"5","chance"
"6","time"
"7","worth"
"8","change"
"9","expect"
"10","interested"
"11","negro"
"12","white"
"13","trust"
"14","fight"
"15","discrimination"
"16","doubt"
"17","agree"
"18","eat"
"19","fighting"
"20","giving"
"21","qualified"
"22","wear"
"23","approve"
"24","cooperate"
"25","forget"
"26","happen"
"27","interest"
"28","bad"
"29","respect"
"30","soldier"
"31","talk"
"32","true"
"33","worry"
"34","afford"
"35","afraid"
"36","blame"
"37","deserve"
"38","question"
"39","cover"
"40","enjoy"
"41","love"
"42","pay"
"43","prove"
"44","cooperation"
"45","damn"
"46","fault"
"47","prejudice"
"48","recreation"
"49","unity"
"50","die"
"51","leave"
"52","practice"
"53","satisfied"
"54","serve"
"55","taught"
"56","confidence"
"57","job"
"58","possibility"
"59","system"
"60","benefit"
"61","bother"
"62","chosen"
"63","completely"
"64","discharge"
"65","fall"
"66","hurt"
"67","improve"
"68","kick"
"69","misunderstand"
"70","perish"
"71","pick"
"72","possess"
"73","received"
"74","show"
"75","sick"
"76","hope"
"77","democracy"
"78","excuse"
"79","father"
"80","feeling"
"81","fun"
"82","gun"
"83","harm"
"84","impartiality"
"85","importance"
"86","objection"
"87","opportunity"
"88","participation"
"89","radio"
"90","rating"
"91","real"
"92","recreational"
"93","sir"
"94","advance"
"95","authoritative"
"96","clean"
"97","coming"
"98","complain"
"99","count"
"100","deal"
"101","expecting"
"102","gain"
"103","hate"
"104","hire"
"105","include"
"106","intend"
"107","kill"
"108","kiss"
"109","knowing"
"110","learn"
"111","liking"
"112","long"
"113","lord"
"114","lose"
"115","lower"
"116","march"
"117","obey"
"118","practiced"
"119","prepared"
"120","protect"
"121","proud"
"122","provide"
"123","quit"
"124","remove"
"125","rugged"
"126","shed"
"127","start"
"128","teach"
"129","thought"
"130","touched"
"131","waste"
"132","working"
"133","fear"
"134","fixed"
"135","essential"
"136","encourage"
"137","grant"
"138","intelligent"
"139","lost"
"140","pleased"
"141","pull"
"142","regretted"
"143","volunteer"
"144","wrong"
"145","ability"
"146","action"
"147","admiration"
"148","advancement"
"149","attempt"
"150","brains"
"151","break"
"152","brotherly"
"153","buck"
"154","choice"
"155","civil"
"156","commission"
"157","complaint"
"158","contact"
"159","corporation"
"160","credit"
"161","dealings"
"162","decent"
"163","dislike"
"164","dissension"
"165","distinction"
"166","disturbance"
"167","excitement"
"168","faith"
"169","fitting"
"170","food"
"171","foreign"
"172","garrison"
"173","hatred"
"174","hell"
"175","hesitation"
"176","jail"
"177","kicking"
"178","kind"
"179","law"
"180","leader"
"181","mad"
"182","malice"
"183","medical"
"184","misunderstanding"
"185","mother"
"186","nigger"
"187","officer"
"188","outlaw"
"189","payment"
"190","personal"
"191","pity"
"192","promotion"
"193","punishment"
"194","refuse"
"195","regret"
"196","school"
"197","secret"
"198","sense"
"199","shape"
"200","shit"
"201","special"
"202","statement"
"203","subjugation"
"204","superior"
"205","trade"
"206","traveling"
"207","trip"
"208","war"
"209","abuse"
"210","accomplish"
"211","adapt"
"212","advanced"
"213","appeal"
"214","ashamed"
"215","bee"
"216","believed"
"217","beneficial"
"218","broken"
"219","build"
"220","careful"
"221","catch"
"222","classify"
"223","combat"
"224","condemn"
"225","conscientious"
"226","content"
"227","curse"
"228","defeat"
"229","depress"
"230","disappoint"
"231","disappointed"
"232","disregarded"
"233","draft"
"234","dumb"
"235","effective"
"236","enjoying"
"237","exchange"
"238","experiment"
"239","expose"
"240","exterminate"
"241","fairly"
"242","falsely"
"243","familiar"
"244","fancy"
"245","fee"
"246","fill"
"247","fool"
"248","force"
"249","fort"
"250","found"
"251","fret"
"252","fulfill"
"253","full"
"254","fully"
"255","garbage"
"256","granted"
"257","grumble"
"258","hamper"
"259","happy"
"260","harmful"
"261","haven"
"262","ignorant"
"263","immediately"
"264","important"
"265","including"
"266","inspire"
"267","joking"
"268","jump"
"269","killing"
"270","land"
"271","learning"
"272","level"
"273","liberal"
"274","lieutenant"
"275","limited"
"276","lines"
"277","lynch"
"278","money"
"279","offended"
"280","offering"
"281","opposed"
"282","oppress"
"283","poison"
"284","practise"
"285","prejudiced"
"286","proficient"
"287","prolong"
"288","promise"
"289","proper"
"290","protected"
"291","proven"
"292","punish"
"293","quiet"
"294","ready"
"295","remedy"
"296","responsible"
"297","rightly"
"298","ruined"
"299","safe"
"300","seasoned"
"301","seek"
"302","segregate"
"303","shell"
"304","ship"
"305","shoot"
"306","split"
"307","succeed"
"308","supply"
"309","surrender"
"310","swear"
"311","unbearable"
"312","understanding"
"313","visit"
"314","vote"
"315","wait"
"316","wanting"
"317","ware"
"318","wasted"
"319","worse"
"320","younger"
"321","bias"
"322","confusion"
"323","danger"
"324","falling"
"325","freedom"
"326","honor"
