source,target,weight
px,club,0.373662403269856
sit,afternoon,0.356253605354792
town,price,0.290606384882493
sit,sing,0.286499508430399
bed,wreck,0.266947026809371
bed,comfort,0.266947026809371
eat,messhal,0.260903997445798
eat,food,0.256339707689487
transport,bu,0.253342046344284
sleep,bunk,0.249557745517204
px,bui,0.249202596116053
bed,miss,0.243047505903301
ride,bu,0.239564084455486
barrack,letter,0.235875670554618
town,polic,0.230775189821648
home,close,0.22847148025291
sleep,wood,0.226745060229062
sleep,spring,0.226745060229062
station,close,0.226426426426426
theater,distinct,0.22000214172949
eat,cook,0.214829116808925
town,mp,0.211389572730988
theater,px,0.206415388997142
px,theater,0.206415388997142
station,home,0.203497257511185
home,station,0.203497257511185
ride,spring,0.202111531678539
ride,transport,0.200508402852076
transport,ride,0.200508402852076
bed,consid,0.196876580989432
px,entertain,0.196156994323866
transport,camp,0.194670099069284
camp,transport,0.194670099069284
home,weekend,0.192665952604242
live,condit,0.190097245792126
transport,pass,0.187790610012603
ride,dirti,0.186775129703664
ride,parent,0.186775129703664
ride,interview,0.186775129703664
armycamp,watch,0.186387947693788
theater,entertain,0.186276277970695
theater,cent,0.18034623481624
eat,chow,0.179127316759931
transport,entertain,0.177839136259768
eat,tabl,0.177594502580104
ride,rotten,0.174390395718802
ride,car,0.174390395718802
ride,dog,0.174390395718802
transport,weekend,0.173206600053056
home,folk,0.17312916166618
eat,meal,0.172370964526973
theater,enlist,0.169671050892658
armycamp,store,0.169359609817061
armycamp,agre,0.169359609817061
bed,nice,0.169137681344459
home,furlough,0.165346941949489
sleep,minut,0.164312773038555
ride,visit,0.164113355673184
bed,sleep,0.163508972718074
sleep,bed,0.163508972718074
home,wife,0.162000601219642
barrack,clean,0.159422491311869
home,near,0.156667617852692
live,human,0.15575796389637
bed,35,0.155749107026019
sit,inspect,0.155666409404854
theater,sister,0.155403548017232
station,mile,0.153727993042733
town,bu,0.153275509311162
theater,plane,0.152593678561549
bed,night,0.151881998090121
town,citi,0.151715005539835
armycamp,price,0.151681407090618
barrack,cent,0.15161659663792
barrack,smoke,0.15161659663792
station,thousand,0.150362560883413
