source,target,weight,racial_group
mother,father,0.378548794408732,black
negrowoman,whitewoman,0.320978770840952,black
whitewoman,negrowoman,0.320978770840952,black
wife,child,0.296712437985729,black
wife,marri,0.284372974411598,black
whitewoman,negroman,0.274387634619391,black
sister,mother,0.25879028626171,black
mother,sister,0.25879028626171,black
sister,mich,0.256530198545155,black
negrowoman,negroman,0.226512837078906,black
whitewoman,cry,0.195729465951992,black
girl,babi,0.195729465951992,black
sister,brother,0.195573219971142,black
negrowoman,armyexchang,0.191263595546898,black
negrowoman,milk,0.191263595546898,black
wife,babi,0.185843999237085,black
wife,home,0.185344425523119,black
sister,flyer,0.181314409807458,black
mother,far,0.180173896348666,black
wife,mother,0.178565167847269,black
mother,wife,0.178565167847269,black
mother,allot,0.17027861257236,black
wife,kid,0.169000412369664,black
mother,daughter,0.166080061918227,black
negrowoman,kitchen,0.165222968222221,black
sister,support,0.160297092356152,black
girl,marri,0.158039786941005,black
negrowoman,associ,0.154014009641196,black
woman,molest,0.152787167664854,black
woman,65,0.152787167664854,black
wife,worri,0.152508858563483,black
sister,gather,0.150165889132836,black
girl,tuskege,0.150165889132836,black
negrowoman,everydai,0.147407580596909,black
negrowoman,sever,0.147407580596909,black
negrowoman,attack,0.147407580596909,black
negrowoman,doe,0.147407580596909,black
negrowoman,shore,0.147407580596909,black
woman,hire,0.145886112325203,black
girl,join,0.142832753692711,black
sister,dose,0.139655963536628,black
sister,tend,0.139655963536628,black
sister,custer,0.139655963536628,black
sister,clock,0.139655963536628,black
woman,iron,0.138804139695884,black
woman,immedi,0.138804139695884,black
girl,board,0.13642173165362,black
mother,support,0.136378634822277,black
mother,bitch,0.135564007028856,black
negrowoman,hesit,0.134224104610438,black
negrowoman,p.,0.134224104610438,black
mother,son,0.133531002999527,black
negrowoman,american,0.13286407731473,black
mother,home,0.131939885924751,black
woman,farmer,0.127886420503679,black
sister,upset,0.12712732488518,black
woman,ten,0.124719646064251,black
negrowoman,hors,0.123952514172403,black
negrowoman,attain,0.123952514172403,black
negrowoman,qualiti,0.123952514172403,black
whitewoman,bless,0.121132731050782,black
whitewoman,woman,0.120602290996301,black
woman,whitewoman,0.120602290996301,black
mother,luck,0.120316777894446,black
mother,father,0.706002213814171,white
sister,brother,0.49856924842064,white
mother,sister,0.431209418086345,white
sister,mother,0.431209418086345,white
sister,father,0.406762262241907,white
girl,danc,0.336039005662141,white
wife,marri,0.275921229628676,white
wife,babi,0.266734139225679,white
wife,child,0.265555928190448,white
mother,26,0.255307271377824,white
girl,freedom,0.2367238917402,white
girl,spirit,0.235869062449301,white
sister,10,0.232629968585824,white
wife,worri,0.23019548103012,white
sister,firm,0.221804930866186,white
sister,26,0.221804930866186,white
wife,famili,0.203101443347891,white
sister,allot,0.202107345331052,white
sister,specialist,0.202107345331052,white
sister,corpor,0.202107345331052,white
sister,affect,0.202107345331052,white
mother,mine,0.200080084291016,white
mother,support,0.200080084291016,white
woman,industri,0.198042278834705,white
girl,spot,0.197919916796672,white
girl,music,0.197919916796672,white
woman,draft,0.194482057295738,white
mother,brother,0.188084265190671,white
sister,greatli,0.186770537660512,white
sister,manpow,0.186770537660512,white
girl,satisfactori,0.180247498795599,white
girl,keep,0.180247498795599,white
girl,crowd,0.180247498795599,white
girl,bright,0.180247498795599,white
girl,maintain,0.180247498795599,white
girl,entir,0.180247498795599,white
sister,shortag,0.17438542962796,white
sister,law,0.17438542962796,white
sister,mine,0.17438542962796,white
sister,dollar,0.17438542962796,white
sister,space,0.17438542962796,white
sister,graduat,0.17438542962796,white
mother,wife,0.168900491425191,white
wife,mother,0.168900491425191,white
girl,brain,0.166480460015292,white
girl,observ,0.166480460015292,white
girl,econom,0.166480460015292,white
girl,effect,0.166480460015292,white
sister,folk,0.164108040711874,white
wife,home,0.161926780971424,white
sister,theater,0.155397904812265,white
girl,intend,0.155357326088228,white
girl,sure,0.155357326088228,white
girl,develop,0.155357326088228,white
girl,caus,0.155357326088228,white
girl,plan,0.155357326088228,white
mother,9,0.154652620533331,white
sister,take,0.153309279419993,white
