"","word1","word2","n"
"288","no","cooperation",4
"289","no","experience",4
"290","no","how",4
"291","no","it",4
"292","no","much",4
"293","no","part",4
"294","no","questions",4
"295","no","respect",4
"296","no","right",4
"297","no","rights",4
"298","no","springs",4
"299","no","such",4
"300","no","they",4
"301","no","we",4
"302","not","ben",4
"303","not","come",4
"304","not","here",4
"305","not","his",4
"306","not","married",4
"307","not","more",4
"308","not","needed",4
"309","not","permit",4
"310","not","prove",4
"311","not","satisfied",4
"312","not","say",4
"313","not","some",4
"314","not","stop",4
"315","not","such",4
"316","not","sure",4
"317","not","trust",4
"318","not","where",4
"319","not","why",4
"320","without","any",4
"321","won't","to",4
"322","wont","allow",4
"323","wont","help",4
"324","wont","work",4
"325","wouldn't","do",4
"326","can't","afford",3
"327","can't","fight",3
"328","can't","keep",3
"329","can't","mix",3
"330","can't","seem",3
"331","can't","win",3
"332","can't","work",3
"333","cant","help",3
"334","cant","i",3
"335","cant","ride",3
"336","cant","take",3
"337","cant","walk",3
"338","cant","win",3
"339","couldn't","be",3
"340","couldn't","i",3
"341","don't","and",3
"342","don't","belong",3
"343","don't","blame",3
"344","don't","but",3
"345","don't","eat",3
"346","don't","ever",3
"347","don't","let",3
"348","don't","look",3
"349","don't","misunderstand",3
"350","don't","under",3
"351","don't","win",3
"352","dont","a",3
"353","dont","agree",3
"354","dont","lick",3
"355","dont","mine",3
"356","dont","now",3
"357","dont","understand",3
"358","no","41",3
"359","no","54",3
"360","no","8",3
"361","no","and",3
"362","no","are",3
"363","no","be",3
"364","no","body",3
"365","no","confidence",3
"366","no","dam",3
"367","no","differance",3
"368","no","education",3
"369","no","further",3
"370","no","have",3
"371","no","job",3
"372","no","negroes",3
"373","no","of",3
"374","no","pass",3
"375","no","play",3
"376","no","recreation",3
"377","no","room",3
"378","no","southern",3
"379","no","space",3
"380","no","system",3
"381","no","the",3
"382","no","underline",3
"383","not","afraid",3
"384","not","after",3
"385","not","allowing",3
"386","not","approve",3
"387","not","benefit",3
"388","not","chosen",3
"389","not","considered",3
"390","not","deletion",3
"391","not","deserve",3
"392","not","eat",3
"393","not","equal",3
"394","not","ever",3
"395","not","expect",3
"396","not","happen",3
"397","not","hard",3
"398","not","hold",3
"399","not","if",3
"400","not","kept",3
"401","not","look",3
"402","not","many",3
"403","not","me",3
"404","not","not",3
"405","not","now",3
"406","not","over",3
"407","not","pay",3
"408","not","perish",3
"409","not","really",3
"410","not","require",3
"411","not","run",3
"412","not","seen",3
"413","not","send",3
"414","not","service",3
"415","not","shown",3
"416","not","sick",3
"417","not","soldier",3
"418","not","sufficient",3
"419","not","talk",3
"420","not","taught",3
"421","not","there",3
"422","not","trained",3
"423","not","try",3
"424","not","until",3
"425","not","well",3
"426","not","win",3
"427","not","worry",3
"428","without","having",3
"429","without","question",3
"430","without","the",3
"431","without","trouble",3
"432","won't","do",3
"433","won't","even",3
"434","won't","have",3
"435","won't","mix",3
"436","won't","unclear",3
"437","won't","work",3
"438","wont","even",3
"439","wont","say",3
"440","wont","want",3
"441","wouldn't","make",3
"442","wouldn't","take",3
"443","can't","answer",2
"444","can't","concentrate",2
"445","can't","find",2
"446","can't","give",2
"447","can't","he",2
"448","can't","i",2
"449","can't","learn",2
"450","can't","live",2
"451","can't","please",2
"452","can't","protect",2
"453","can't","read",2
"454","can't","stop",2
"455","can't","tell",2
"456","can't","use",2
"457","can't","waste",2
"458","can't","you",2
"459","cant","a",2
"460","cant","afford",2
"461","cant","ever",2
"462","cant","got",2
"463","cant","have",2
"464","cant","lose",2
"465","cant","march",2
"466","cant","not",2
"467","cant","please",2
"468","cant","possibly",2
"469","cant","put",2
"470","cant","the",2
"471","cant","think",2
"472","couldn't","make",2
"473","couldn't","possibly",2
"474","don't","agree",2
"475","don't","belive",2
"476","don't","cooperate",2
"477","don't","deletion",2
"478","don't","enjoy",2
"479","don't","examine",2
"480","don't","find",2
"481","don't","happen",2
"482","don't","he",2
"483","don't","help",2
"484","don't","i",2
"485","don't","it",2
"486","don't","live",2
"487","don't","love",2
"488","don't","mine",2
"489","don't","really",2
"490","don't","receive",2
"491","don't","say",2
"492","don't","send",2
"493","don't","so",2
"494","don't","to",2
"495","don't","why",2
"496","don't","wish",2
"497","dont","allow",2
"498","dont","for",2
"499","dont","go",2
"500","dont","it",2
"501","dont","look",2
"502","dont","miss",2
"503","dont","pick",2
"504","dont","really",2
"505","dont","that",2
"506","dont","to",2
"507","no","1",2
"508","no","18",2
"509","no","2",2
"510","no","20",2
"511","no","23",2
"512","no","24",2
"513","no","3",2
"514","no","34",2
"515","no","45",2
"516","no","47",2
"517","no","49",2
"518","no","5",2
"519","no","67",2
"520","no","7",2
"521","no","74",2
"522","no","allotment",2
"523","no","any",2
"524","no","as",2
"525","no","avail",2
"526","no","butter",2
"527","no","camp",2
"528","no","circumstances",2
"529","no","desire",2
"530","no","end",2
"531","no","enjoyment",2
"532","no","exception",2
"533","no","excuse",2
"534","no","father",2
"535","no","fault",2
"536","no","feeling",2
"537","no","fight",2
"538","no","fighting",2
"539","no","for",2
"540","no","furlough",2
"541","no","give",2
"542","no","gun",2
"543","no","harm",2
"544","no","higher",2
"545","no","hope",2
"546","no","impartiality",2
"547","no","importance",2
"548","no","is",2
"549","no","jobs",2
"550","no","leadership",2
"551","no","less",2
"552","no","longer",2
"553","no","mater",2
"554","no","means",2
"555","no","my",2
"556","no","nothing",2
"557","no","objection",2
"558","no","on",2
"559","no","openings",2
"560","no","opportunity",2
"561","no","passes",2
"562","no","places",2
"563","no","possibility",2
"564","no","possible",2
"565","no","prejudice",2
"566","no","quarter",2
"567","no","race",2
"568","no","radio",2
"569","no","rating",2
"570","no","real",2
"571","no","recreational",2
"572","no","say",2
"573","no","sir",2
"574","no","soldier",2
"575","no","some",2
"576","no","towns",2
"577","no","treatment",2
"578","no","unity",2
"579","no","value",2
"580","no","wars",2
"581","not","about",2
"582","not","accustomed",2
"583","not","act",2
"584","not","adequate",2
"585","not","alowed",2
"586","not","animals",2
"587","not","answer",2
"588","not","asked",2
"589","not","become",2
"590","not","best",2
"591","not","between",2
"592","not","blame",2
"593","not","called",2
"594","not","calling",2
"595","not","change",2
"596","not","clear",2
"597","not","complete",2
"598","not","consider",2
"599","not","cover",2
"600","not","die",2
"601","not","encouraged",2
"602","not","enforced",2
"603","not","exactly",2
"604","not","exist",2
"605","not","expecting",2
"606","not","fed",2
"607","not","forget",2
"608","not","having",2
"609","not","include",2
"610","not","insertion",2
"611","not","its",2
"612","not","knowing",2
"613","not","left",2
"614","not","liked",2
"615","not","liking",2
"616","not","made",2
"617","not","men",2
"618","not","merely",2
"619","not","mingle",2
"620","not","mixed",2
"621","not","necessarily",2
"622","not","necessary",2
"623","not","negros",2
"624","not","never",2
"625","not","nice",2
"626","not","of",2
"627","not","or",2
"628","not","pass",2
"629","not","place",2
"630","not","play",2
"631","not","poor",2
"632","not","possible",2
"633","not","practice",2
"634","not","practiced",2
"635","not","proud",2
"636","not","received",2
"637","not","remove",2
"638","not","required",2
"639","not","return",2
"640","not","rite",2
"641","not","rugged",2
"642","not","seperate",2
"643","not","smoke",2
"644","not","socially",2
"645","not","soldiers",2
"646","not","something",2
"647","not","start",2
"648","not","station",2
"649","not","sufficiently",2
"650","not","taken",2
"651","not","taking",2
"652","not","teach",2
"653","not","together",2
"654","not","transfer",2
"655","not","tried",2
"656","not","underline",2
"657","not","walk",2
"658","not","whether",2
"659","not","wholly",2
"660","not","willing",2
"661","not","wish",2
"662","not","with",2
"663","not","write",2
"664","not","written",2
"665","not","yet",2
"666","without","all",2
"667","without","fear",2
"668","without","me",2
"669","without","prejudice",2
"670","without","that",2
"671","without","us",2
"672","won't","allow",2
"673","won't","get",2
"674","won't","listen",2
"675","won't","try",2
"676","won't","win",2
"677","wont","get",2
"678","wont","have",2
"679","wont","mind",2
"680","wont","mix",2
"681","wont","put",2
"682","wont","see",2
"683","wont","take",2
"684","wont","unclear",2
"685","wouldn't","believe",2
"686","wouldn't","give",2
"687","wouldn't","let",2
"688","wouldn't","put",2
"689","wouldn't","stay",2
"690","wouldn't","think",2
"691","wouldnt","care",2
"692","wouldnt","get",2
"693","can't","advance",1
"694","can't","agree",1
"695","can't","ague",1
"696","can't","allways",1
"697","can't","and",1
"698","can't","anything",1
"699","can't","army",1
"700","can't","believe",1
"701","can't","blame",1
"702","can't","blend",1
"703","can't","break",1
"704","can't","but",1
"705","can't","carry",1
"706","can't","color",1
"707","can't","come",1
"708","can't","complete",1
"709","can't","conceive",1
"710","can't","count",1
"711","can't","cut",1
"712","can't","deletion",1
"713","can't","don't",1
"714","can't","drill",1
"715","can't","e",1
"716","can't","e.g",1
"717","can't","eat",1
"718","can't","elevate",1
"719","can't","express",1
"720","can't","exterminate",1
"721","can't","fail",1
"722","can't","feel",1
"723","can't","figure",1
"724","can't","ge",1
"725","can't","git",1
"726","can't","grasp",1
"727","can't","handle",1
"728","can't","hartly",1
"729","can't","if",1
"730","can't","last",1
"731","can't","leave",1
"732","can't","living",1
"733","can't","look",1
"734","can't","lt",1
"735","can't","negro",1
"736","can't","negroes",1
"737","can't","not",1
"738","can't","object",1
"739","can't","one",1
"740","can't","only",1
"741","can't","other",1
"742","can't","our",1
"743","can't","out",1
"744","can't","paragraph",1
"745","can't","play",1
"746","can't","produce",1
"747","can't","promise",1
"748","can't","put",1
"749","can't","qualify",1
"750","can't","quite",1
"751","can't","really",1
"752","can't","release",1
"753","can't","report",1
"754","can't","said",1
"755","can't","secure",1
"756","can't","set",1
"757","can't","shoot",1
"758","can't","should",1
"759","can't","soldier",1
"760","can't","solve",1
"761","can't","some",1
"762","can't","someone",1
"763","can't","spend",1
"764","can't","stay",1
"765","can't","support",1
"766","can't","talk",1
"767","can't","these",1
"768","can't","think",1
"769","can't","unless",1
"770","can't","us",1
"771","can't","very",1
"772","can't","visit",1
"773","can't","walk",1
"774","can't","write",1
"775","cant","advance",1
"776","cant","all",1
"777","cant","appreciate",1
"778","cant","become",1
"779","cant","cant",1
"780","cant","defeat",1
"781","cant","drill",1
"782","cant","driver",1
"783","cant","eat",1
"784","cant","fall",1
"785","cant","food",1
"786","cant","for",1
"787","cant","fulfill",1
"788","cant","goe",1
"789","cant","has",1
"790","cant","haven",1
"791","cant","he",1
"792","cant","helps",1
"793","cant","just",1
"794","cant","keep",1
"795","cant","last",1
"796","cant","leave",1
"797","cant","live",1
"798","cant","loose",1
"799","cant","love",1
"800","cant","men",1
"801","cant","operate",1
"802","cant","our",1
"803","cant","paragraph",1
"804","cant","prove",1
"805","cant","rid",1
"806","cant","sat",1
"807","cant","seem",1
"808","cant","slay",1
"809","cant","soulder",1
"810","cant","speak",1
"811","cant","split",1
"812","cant","stop",1
"813","cant","this",1
"814","cant","till",1
"815","cant","trust",1
"816","cant","under",1
"817","cant","undirstand",1
"818","cant","us",1
"819","cant","use",1
"820","cant","ware",1
"821","cant","well",1
"822","cant","work",1
"823","cant","write",1
"824","cant","you",1
"825","couldn't","do",1
"826","couldn't","fight",1
"827","couldn't","have",1
"828","couldn't","hear",1
"829","couldn't","hold",1
"830","couldn't","image",1
"831","couldn't","negroes",1
"832","couldn't","say",1
"833","couldn't","season",1
"834","couldn't","they",1
"835","couldn't","we",1
"836","couldnt","agree",1
"837","couldnt","better",1
"838","couldnt","couldn't",1
"839","couldnt","enlist",1
"840","couldnt","even",1
"841","couldnt","expect",1
"842","couldnt","get",1
"843","couldnt","harm",1
"844","couldnt","stand",1
"845","don't","5",1
"846","don't","55",1
"847","don't","a",1
"848","don't","abuse",1
"849","don't","all",1
"850","don't","any",1
"851","don't","appeal",1
"852","don't","ask",1
"853","don't","attain",1
"854","don't","bee",1
"855","don't","begrudge",1
"856","don't","bleaving",1
"857","don't","bother",1
"858","don't","btry",1
"859","don't","call",1
"860","don't","claim",1
"861","don't","come",1
"862","don't","complain",1
"863","don't","consider",1
"864","don't","curse",1
"865","don't","cut",1
"866","don't","deal",1
"867","don't","deliberately",1
"868","don't","deserve",1
"869","don't","discharge",1
"870","don't","divid",1
"871","don't","draft",1
"872","don't","drink",1
"873","don't","either",1
"874","don't","enough",1
"875","don't","especially",1
"876","don't","everyone",1
"877","don't","examation",1
"878","don't","exchange",1
"879","don't","excuse",1
"880","don't","fall",1
"881","don't","fancy",1
"882","don't","fee",1
"883","don't","feed",1
"884","don't","fell",1
"885","don't","fit",1
"886","don't","follow",1
"887","don't","for",1
"888","don't","force",1
"889","don't","gather",1
"890","don't","git",1
"891","don't","happand",1
"892","don't","hardly",1
"893","don't","hate",1
"894","don't","hope",1
"895","don't","if",1
"896","don't","in",1
"897","don't","including",1
"898","don't","insertion",1
"899","don't","inspire",1
"900","don't","intend",1
"901","don't","is",1
"902","don't","issue",1
"903","don't","keep",1
"904","don't","kick",1
"905","don't","kill",1
"906","don't","kno",1
"907","don't","lynch",1
"908","don't","many",1
"909","don't","meant",1
"910","don't","now",1
"911","don't","object",1
"912","don't","of",1
"913","don't","or",1
"914","don't","pick",1
"915","don't","possess",1
"916","don't","promote",1
"917","don't","provide",1
"918","don't","quit",1
"919","don't","rate",1
"920","don't","realy",1
"921","don't","relize",1
"922","don't","respect",1
"923","don't","seems",1
"924","don't","segregate",1
"925","don't","separate",1
"926","don't","serve",1
"927","don't","set",1
"928","don't","soldier",1
"929","don't","some",1
"930","don't","somebody",1
"931","don't","something",1
"932","don't","speak",1
"933","don't","spell",1
"934","don't","squawk",1
"935","don't","stand",1
"936","don't","succeed",1
"937","don't","taste",1
"938","don't","tell",1
"939","don't","that",1
"940","don't","there",1
"941","don't","these",1
"942","don't","this",1
"943","don't","treated",1
"944","don't","underline",1
"945","don't","us",1
"946","don't","vote",1
"947","don't","wake",1
"948","don't","wan't",1
"949","don't","warant",1
"950","don't","wast",1
"951","don't","when",1
"952","don't","won't",1
"953","don't","worry",1
"954","dont","address",1
"955","dont","afford",1
"956","dont","all",1
"957","dont","always",1
"958","dont","are",1
"959","dont","ask",1
"960","dont","beleive",1
"961","dont","believed",1
"962","dont","belive",1
"963","dont","belong",1
"964","dont","bring",1
"965","dont","but",1
"966","dont","carry",1
"967","dont","change",1
"968","dont","come",1
"969","dont","convide",1
"970","dont","cooperate",1
"971","dont","deserve",1
"972","dont","discharge",1
"973","dont","eat",1
"974","dont","entitle",1
"975","dont","ever",1
"976","dont","expect",1
"977","dont","fell",1
"978","dont","fills",1
"979","dont","fine",1
"980","dont","fit",1
"981","dont","furloughs",1
"982","dont","gre",1
"983","dont","happen",1
"984","dont","has",1
"985","dont","hate",1
"986","dont","help",1
"987","dont","her",1
"988","dont","id",1
"989","dont","insertion",1
"990","dont","kid",1
"991","dont","kiss",1
"992","dont","l",1
"993","dont","lak",1
"994","dont","let",1
"995","dont","love",1
"996","dont","mention",1
"997","dont","misinterpret",1
"998","dont","naw",1
"999","dont","negros",1
"1000","dont","never",1
"1001","dont","nothing",1
"1002","dont","produce",1
"1003","dont","put",1
"1004","dont","rain",1
"1005","dont","rate",1
"1006","dont","realize",1
"1007","dont","ride",1
"1008","dont","run",1
"1009","dont","s",1
"1010","dont","sale",1
"1011","dont","seame",1
"1012","dont","seen",1
"1013","dont","send",1
"1014","dont","serve",1
"1015","dont","show",1
"1016","dont","some",1
"1017","dont","soon",1
"1018","dont","stare",1
"1019","dont","station",1
"1020","dont","stop",1
"1021","dont","studdy",1
"1022","dont","talk",1
"1023","dont","tell",1
"1024","dont","tolated",1
"1025","dont","touch",1
"1026","dont","treet",1
"1027","dont","trust",1
"1028","dont","try",1
"1029","dont","underline",1
"1030","dont","unstan",1
"1031","dont","use",1
"1032","dont","we'll",1
"1033","dont","white",1
"1034","dont","why",1
"1035","dont","win",1
"1036","dont","wish",1
"1037","dont","worry",1
"1038","no","11",1
"1039","no","12",1
"1040","no","16",1
"1041","no","21",1
"1042","no","26",1
"1043","no","28",1
"1044","no","29",1
"1045","no","31",1
"1046","no","32",1
"1047","no","35",1
"1048","no","36",1
"1049","no","4",1
"1050","no","40",1
"1051","no","50",1
"1052","no","53,54,56",1
"1053","no","56",1
"1054","no","57",1
"1055","no","5th",1
"1056","no","6",1
"1057","no","63",1
"1058","no","64",1
"1059","no","68",1
"1060","no","77",1
"1061","no","ability",1
"1062","no","abot",1
"1063","no","about",1
"1064","no","absolutely",1
"1065","no","accept",1
"1066","no","action",1
"1067","no","admiration",1
"1068","no","advancement",1
"1069","no","all",1
"1070","no","alternative",1
"1071","no","ambitions",1
"1072","no","amusements",1
"1073","no","an",1
"1074","no","apptitude",1
"1075","no","ar35",1
"1076","no","army",1
"1077","no","attempt",1
"1078","no","bad",1
"1079","no","bader",1
"1080","no","basic",1
"1081","no","because",1
"1082","no","being",1
"1083","no","believe",1
"1084","no","benefits",1
"1085","no","brains",1
"1086","no","break",1
"1087","no","brighter",1
"1088","no","brotherly",1
"1089","no","buck",1
"1090","no","bullet",1
"1091","no","bus",1
"1092","no","buses",1
"1093","no","care",1
"1094","no","change",1
"1095","no","choice",1
"1096","no","civil",1
"1097","no","civilian",1
"1098","no","colear",1
"1099","no","coment",1
"1100","no","coments",1
"1101","no","commission",1
"1102","no","common",1
"1103","no","comparison",1
"1104","no","complaint",1
"1105","no","complete",1
"1106","no","conception",1
"1107","no","condition",1
"1108","no","connections",1
"1109","no","consequence",1
"1110","no","consideration",1
"1111","no","contact",1
"1112","no","conveince",1
"1113","no","convoys",1
"1114","no","corporation",1
"1115","no","cover",1
"1116","no","crantperiachin",1
"1117","no","credit",1
"1118","no","damn",1
"1119","no","dances",1
"1120","no","day",1
"1121","no","days",1
"1122","no","dealings",1
"1123","no","decent",1
"1124","no","deferment",1
"1125","no","democracy",1
"1126","no","democratic",1
"1127","no","differan",1
"1128","no","differences",1
"1129","no","differte",1
"1130","no","diffice",1
"1131","no","direct",1
"1132","no","disasters",1
"1133","no","dislike",1
"1134","no","dissention",1
"1135","no","distinction",1
"1136","no","disturbance",1
"1137","no","do",1
"1138","no","dog",1
"1139","no","enough",1
"1140","no","equal",1
"1141","no","exceptions",1
"1142","no","excitement",1
"1143","no","eyes",1
"1144","no","facilities",1
"1145","no","fair",1
"1146","no","faith",1
"1147","no","falt",1
"1148","no","farmers",1
"1149","no","farther",1
"1150","no","faults",1
"1151","no","favors",1
"1152","no","feel",1
"1153","no","field",1
"1154","no","fights",1
"1155","no","finer",1
"1156","no","fit",1
"1157","no","fitting",1
"1158","no","food",1
"1159","no","forlo",1
"1160","no","formulate",1
"1161","no","freedoms",1
"1162","no","fuck",1
"1163","no","fulow",1
"1164","no","fun",1
"1165","no","furloughs",1
"1166","no","future",1
"1167","no","garrison",1
"1168","no","girls",1
"1169","no","go",1
"1170","no","grade",1
"1171","no","gripe",1
"1172","no","gripes",1
"1173","no","grippes",1
"1174","no","group",1
"1175","no","hard",1
"1176","no","hatered",1
"1177","no","having",1
"1178","no","he",1
"1179","no","hell",1
"1180","no","hesitation",1
"1181","no","high",1
"1182","no","home",1
"1183","no","hopes",1
"1184","no","human",1
"1185","no","ideas",1
"1186","no","in",1
"1187","no","incentive",1
"1188","no","increased",1
"1189","no","injoyment",1
"1190","no","insertion",1
"1191","no","instead",1
"1192","no","jail",1
"1193","no","jim",1
"1194","no","jimcrow",1
"1195","no","judge",1
"1196","no","just",1
"1197","no","kicking",1
"1198","no","kidding",1
"1199","no","kind",1
"1200","no","lasting",1
"1201","no","law",1
"1202","no","leader",1
"1203","no","lied",1
"1204","no","lies",1
"1205","no","life",1
"1206","no","likeness",1
"1207","no","liking",1
"1208","no","limits",1
"1209","no","line",1
"1210","no","logic",1
"1211","no","lost",1
"1212","no","m.p",1
"1213","no","mad",1
"1214","no","malice",1
"1215","no","man's",1
"1216","no","mans",1
"1217","no","mechanical",1
"1218","no","medical",1
"1219","no","mention",1
"1220","no","missed",1
"1221","no","misunderstanding",1
"1222","no","mixed",1
"1223","no","mops",1
"1224","no","moral",1
"1225","no","mother",1
"1226","no","name",1
"1227","no","ned",1
"1228","no","negro's",1
"1229","no","new",1
"1230","no","news",1
"1231","no","nigger",1
"1232","no","niggers",1
"1233","no","non",1
"1234","no","now",1
"1235","no","number",1
"1236","no","officer",1
"1237","no","op",1
"1238","no","outlaw",1
"1239","no","over",1
"1240","no","parcially",1
"1241","no","part's",1
"1242","no","participation",1
"1243","no","parts",1
"1244","no","past",1
"1245","no","patches",1
"1246","no","payment",1
"1247","no","person",1
"1248","no","personal",1
"1249","no","physiologically",1
"1250","no","pictures",1
"1251","no","pity",1
"1252","no","plase",1
"1253","no","pleasure",1
"1254","no","power",1
"1255","no","predjudice",1
"1256","no","predujice",1
"1257","no","preference",1
"1258","no","privlege",1
"1259","no","promotion",1
"1260","no","provisions",1
"1261","no","punishment",1
"1262","no","qualities",1
"1263","no","quistens",1
"1264","no","quota's",1
"1265","no","racial",1
"1266","no","rateings",1
"1267","no","reasons",1
"1268","no","refuse",1
"1269","no","regard",1
"1270","no","regards",1
"1271","no","regret",1
"1272","no","reputation",1
"1273","no","respective",1
"1274","no","rough",1
"1275","no","sailor",1
"1276","no","school",1
"1277","no","secret",1
"1278","no","segation",1
"1279","no","segration",1
"1280","no","sense",1
"1281","no","separate",1
"1282","no","separation",1
"1283","no","seperation",1
"1284","no","sergation",1
"1285","no","servic",1
"1286","no","shape",1
"1287","no","shit",1
"1288","no","signs",1
"1289","no","skrings",1
"1290","no","smatter",1
"1291","no","so",1
"1292","no","soldiering",1
"1293","no","solider",1
"1294","no","solidering",1
"1295","no","son",1
"1296","no","sooner",1
"1297","no","south",1
"1298","no","special",1
"1299","no","specified",1
"1300","no","sports",1
"1301","no","spring",1
"1302","no","stand",1
"1303","no","statement",1
"1304","no","station",1
"1305","no","stones",1
"1306","no","sucess",1
"1307","no","suffe",1
"1308","no","superior",1
"1309","no","syrup",1
"1310","no","table",1
"1311","no","telling",1
"1312","no","then",1
"1313","no","there",1
"1314","no","think",1
"1315","no","trade",1
"1316","no","trail",1
"1317","no","training",1
"1318","no","transporation",1
"1319","no","traveling",1
"1320","no","treansfear",1
"1321","no","trianing",1
"1322","no","trip",1
