"","word1","word2","n"
"1","don't","think",220
"2","don't","like",186
"3","not","be",160
"4","don't","have",127
"5","don't","know",112
"6","don't","get",98
"7","not","have",96
"8","dont","like",86
"9","no","good",70
"10","can't","get",69
"11","dont","have",69
"12","not","a",69
"13","not","get",68
"14","not","like",66
"15","dont","think",64
"16","don't","see",60
"17","don't","want",59
"18","not","to",55
"19","not","the",53
"20","no","one",49
"21","not","so",49
"22","don't","give",47
"23","not","in",47
"24","not","enough",46
"25","dont","get",44
"26","not","give",44
"27","cant","get",43
"28","no","comments",42
"29","not","getting",40
"30","dont","want",39
"31","no","matter",39
"32","not","as",37
"33","can't","see",36
"34","no","reason",36
"35","not","fair",36
"36","not","want",36
"37","can't","do",34
"38","don't","believe",34
"39","not","given",34
"40","not","only",34
"41","don't","care",32
"42","not","treated",31
"43","can't","go",29
"44","no","more",29
"45","not","know",29
"46","not","think",29
"47","no","chance",27
"48","no","other",27
"49","not","been",26
"50","not","i",26
"51","not","being",25
"52","not","good",25
"53","can't","be",24
"54","can't","we",24
"55","cant","go",24
"56","dont","don't",24
"57","not","unclear",24
"58","not","because",23
"59","not","fit",23
"60","dont","know",22
"61","dont","see",22
"62","no","better",22
"63","no","place",22
"64","not","make",22
"65","don't","seem",21
"66","wouldn't","be",21
"67","no","unclear",20
"68","not","even",20
"69","not","for",20
"70","not","let",20
"71","not","that",20
"72","wont","be",20
"73","don't","mind",19
"74","not","allowed",19
"75","not","what",19
"76","won't","be",19
"77","can't","even",18
"78","don't","they",18
"79","no","way",18
"80","not","able",18
"81","not","going",18
"82","not","on",18
"83","dont","give",17
"84","no","where",17
"85","not","any",17
"86","not","take",17
"87","not","treat",17
"88","dont","care",16
"89","no","time",16
"90","not","much",16
"91","without","a",16
"92","cant","we",15
"93","dont","no",15
"94","not","believe",15
"95","not","do",15
"96","cant","see",14
"97","don't","feel",14
"98","don't","you",14
"99","not","all",14
"100","not","doing",14
"101","not","just",14
"102","not","stand",14
"103","can't","the",13
"104","don't","mix",13
"105","not","feel",13
"106","not","had",13
"107","not","right",13
"108","wont","give",13
"109","wont","to",13
"110","can't","understand",12
"111","cant","be",12
"112","no","know",12
"113","no","use",12
"114","not","ask",12
"115","not","go",12
"116","not","mind",12
"117","not","one",12
"118","wouldn't","have",12
"119","wouldn't","want",12
"120","don't","mean",11
"121","don't","the",11
"122","don't","understand",11
"123","no","i",11
"124","not","got",11
"125","not","interested",11
"126","not","put",11
"127","won't","give",11
"128","cant","can't",10
"129","don't","make",10
"130","dont","believe",10
"131","dont","thank",10
"132","dont","they",10
"133","no","difference",10
"134","no","man",10
"135","no","white",10
"136","no","why",10
"137","not","at",10
"138","not","but",10
"139","not","by",10
"140","not","mix",10
"141","not","my",10
"142","not","used",10
"143","not","very",10
"144","wouldn't","get",10
"145","cant","even",9
"146","don't","even",9
"147","don't","treat",9
"148","don't","we",9
"149","no","comment",9
"150","not","care",9
"151","not","it",9
"152","not","keep",9
"153","not","they",9
"154","not","too",9
"155","not","we",9
"156","without","being",9
"157","won't","let",9
"158","wont","won't",9
"159","wouldn't","work",9
"160","can't","have",8
"161","couldn't","get",8
"162","don't","do",8
"163","dont","unclear",8
"164","no","60",8
"165","no","discrimination",8
"166","no","doubt",8
"167","no","trouble",8
"168","no","what",8
"169","not","and",8
"170","not","fighting",8
"171","not","qualified",8
"172","not","seem",8
"173","not","wanted",8
"174","can't","help",7
"175","can't","make",7
"176","can't","take",7
"177","can't","they",7
"178","cant","they",7
"179","don't","no",7
"180","don't","try",7
"181","don't","unclear",7
"182","dont","do",7
"183","dont","treat",7
"184","no","9",7
"185","no","answer",7
"186","no","business",7
"187","no","complaints",7
"188","no","different",7
"189","no","interest",7
"190","no","need",7
"191","no","negro",7
"192","no","protection",7
"193","no","service",7
"194","not","allow",7
"195","not","help",7
"196","not","mean",7
"197","not","our",7
"198","not","physically",7
"199","not","true",7
"200","not","understand",7
"201","not","work",7
"202","can't","a",6
"203","can't","say",6
"204","can't","stand",6
"205","cant","make",6
"206","cant","unclear",6
"207","don't","change",6
"208","don't","thing",6
"209","dont","even",6
"210","dont","i",6
"211","dont","make",6
"212","dont","say",6
"213","no","color",6
"214","not","bad",6
"215","not","better",6
"216","not","capable",6
"217","not","giving",6
"218","not","live",6
"219","not","making",6
"220","not","properly",6
"221","not","quite",6
"222","not","use",6
"223","not","worth",6
"224","not","you",6
"225","wouldn't","like",6
"226","wouldn't","mind",6
"227","can't","because",5
"228","can't","unclear",5
"229","cant","do",5
"230","don't","approve",5
"231","don't","be",5
"232","don't","expect",5
"233","don't","forget",5
"234","don't","put",5
"235","don't","realize",5
"236","don't","thank",5
"237","don't","work",5
"238","dont","feel",5
"239","dont","seem",5
"240","dont","the",5
"241","no","a",5
"242","no","colored",5
"243","no","country",5
"244","no","idea",5
"245","no","question",5
"246","no","segregation",5
"247","no","that",5
"248","no","transportation",5
"249","not","cooperate",5
"250","not","done",5
"251","not","fight",5
"252","not","from",5
"253","not","half",5
"254","not","he",5
"255","not","human",5
"256","not","last",5
"257","not","no",5
"258","not","respect",5
"259","not","saying",5
"260","not","see",5
"261","not","their",5
"262","not","this",5
"263","wont","do",5
"264","wont","let",5
"265","wouldn't","last",5
"266","can't","hardly",4
"267","can't","ride",4
"268","can't","wear",4
"269","cant","hardly",4
"270","cant","say",4
"271","cant","stand",4
"272","cant","understand",4
"273","cant","wear",4
"274","don't","allow",4
"275","don't","go",4
"276","don't","need",4
"277","don't","quite",4
"278","don't","take",4
"279","don't","trust",4
"280","dont","be",4
"281","dont","lake",4
"282","dont","mind",4
"283","dont","mix",4
"284","dont","take",4
"285","dont","we",4
"286","dont","you",4
"287","no","but",4
