space
armycamp
armyexchange
barrack
barracks
bed
beds
bunkbed
bus
cafe
cafeteria
camp
depot
eat
fort
home
house
housing
latrine
live
messhall
post
postexchange
px
ride
sc
sit
seat
serviceclub
sleep
station
stationed
theater
toilet
toilets
town
train
transport
